task,episode,arm,component,score_change_mean,score_change_rms,centered_score_change_rms,native_elite_overlap_count,best_runnerup_margin,elite_boundary_margin
reach,1,fixed_rank4,centered_only,2.8681755065917967e-06,3.210711105419581e-05,3.1978745277290813e-05,10,0.039260029792785645,0.0017194747924804688
reach,1,matched_random_fixed_rank4,full,6.653825441996256e-05,0.0002321380560704787,0.00022239770182024148,10,0.039080142974853516,0.001657724380493164
reach,1,matched_random_fixed_rank4,cached_full,6.653825441996256e-05,0.0002321380560704787,0.00022239770182024148,10,0.039080142974853516,0.001657724380493164
reach,1,matched_random_fixed_rank4,zero,0.0,0.0,0.0,10,0.039246439933776855,0.0017080307006835938
reach,1,matched_random_fixed_rank4,mean_only,6.145517031351725e-05,0.00022838927196504975,0.00021996572821797046,10,0.0391002893447876,0.0016646385192871094
reach,1,matched_random_fixed_rank4,centered_only,5.092620849609375e-06,2.269383167582727e-05,2.2115044856678563e-05,10,0.03922557830810547,0.0017015933990478516
reach,2,fixed_rank4,full,0.00018898884455362955,0.0003896749212498556,0.000340778169613849,10,0.005494117736816406,0.0047760009765625
reach,2,fixed_rank4,cached_full,0.00018898884455362955,0.0003896749212498556,0.000340778169613849,10,0.005494117736816406,0.0047760009765625
reach,2,fixed_rank4,zero,0.0,0.0,0.0,10,0.005929231643676758,0.005892753601074219
reach,2,fixed_rank4,mean_only,0.00018776655197143554,0.00038551365524500797,0.0003366964513343214,10,0.005381584167480469,0.004828214645385742
reach,2,fixed_rank4,centered_only,1.1722246805826824e-06,3.0214363639160002e-05,3.019161571393003e-05,10,0.00604248046875,0.005840778350830078
reach,2,matched_random_fixed_rank4,full,0.00034499406814575195,0.0005401400134763718,0.0004156083818963464,10,0.005164623260498047,0.005217552185058594
reach,2,matched_random_fixed_rank4,cached_full,0.00034499406814575195,0.0005401400134763718,0.0004156083818963464,10,0.005164623260498047,0.005217552185058594
reach,2,matched_random_fixed_rank4,zero,0.0,0.0,0.0,10,0.005929231643676758,0.005892753601074219
reach,2,matched_random_fixed_rank4,mean_only,0.0003459898630777995,0.0005386886098031282,0.000412887918180022,10,0.005204916000366211,0.005217075347900391
reach,2,matched_random_fixed_rank4,centered_only,-9.250640869140625e-07,3.372082229292422e-05,3.370813125265292e-05,10,0.005889415740966797,0.0058939456939697266
reach,3,fixed_rank4,full,0.0002602235476175944,0.0004345352660374721,0.0003480008659408339,10,0.0873262882232666,0.0005447864532470703
reach,3,fixed_rank4,cached_full,0.0002602235476175944,0.0004345352660374721,0.0003480008659408339,10,0.0873262882232666,0.0005447864532470703
reach,3,fixed_rank4,zero,0.0,0.0,0.0,10,0.08774161338806152,0.00042510032653808594
reach,3,fixed_rank4,mean_only,0.00025304555892944334,0.0004289164783003585,0.0003463196362663652,10,0.0873713493347168,0.0004978179931640625
reach,3,fixed_rank4,centered_only,7.23123550415039e-06,3.287421042571034e-05,3.206903403904454e-05,10,0.08769583702087402,0.0004718303680419922
reach,3,matched_random_fixed_rank4,full,0.00039800961812337237,0.0004910255254020207,0.0002875663583898815,10,0.08766365051269531,0.0006854534149169922
reach,3,matched_random_fixed_rank4,cached_full,0.00039800961812337237,0.0004910255254020207,0.0002875663583898815,10,0.08766365051269531,0.0006854534149169922
reach,3,matched_random_fixed_rank4,zero,0.0,0.0,0.0,10,0.08774161338806152,0.00042510032653808594
reach,3,matched_random_fixed_rank4,mean_only,0.00039190133412679036,0.00048197918307086825,0.000280565994417184,10,0.08767580986022949,0.0007073879241943359
reach,3,matched_random_fixed_rank4,centered_only,6.19967778523763e-06,4.181685393222213e-05,4.135472485881187e-05,10,0.08773016929626465,0.00041103363037109375
reach,4,fixed_rank4,full,0.0007902014255523681,0.0008670799355786224,0.00035694442387861037,10,0.07414484024047852,0.0009639263153076172
reach,4,fixed_rank4,cached_full,0.0007902014255523681,0.0008670799355786224,0.00035694442387861037,10,0.07414484024047852,0.0009639263153076172
reach,4,fixed_rank4,zero,0.0,0.0,0.0,10,0.07408356666564941,0.0011756420135498047
reach,4,fixed_rank4,mean_only,0.0007933406035105388,0.0008680002584314028,0.00035218622269832776,10,0.07412707805633545,0.0010210275650024414
reach,4,fixed_rank4,centered_only,-3.149509429931641e-06,5.195687254183305e-05,5.186132658040148e-05,10,0.07410132884979248,0.0011197328567504883
reach,4,matched_random_fixed_rank4,full,0.0005514693260192872,0.0006526428225343306,0.00034903328819098464,9,0.07396936416625977,0.00045478343963623047
