task,episode,arm,selected_prefix_delta_l2,selected_prefix_delta_rms,cohort,native_comparator,final_mean_delta_l2,final_mean_delta_rms,selected_prefix_coordinates,proposal_coordinates,first_candidate_divergence_iteration
reach,11,fixed_rank4,4.408209057490584,0.5690973422087241,extension56,same_receiving_gpu,6.839967900220734,0.6244007852603569,60,120,1.0
reach,11,matched_random_fixed_rank4,4.012558210104445,0.518019037447412,extension56,same_receiving_gpu,6.592997745144323,0.6018555977660406,60,120,1.0
reach,12,fixed_rank4,7.591388423918329,0.980044031347582,extension56,same_receiving_gpu,10.536927881552923,0.9618855145886099,60,120,5.0
reach,12,matched_random_fixed_rank4,7.591388127911549,0.980043993133271,extension56,same_receiving_gpu,10.536926754979206,0.9618854117469704,60,120,5.0
reach,13,fixed_rank4,1.1299307595879509,0.1458734338083877,extension56,same_receiving_gpu,1.6726888648326048,0.15269490382608789,60,120,2.0
reach,13,matched_random_fixed_rank4,0.42150079082168895,0.05441551810885525,extension56,same_receiving_gpu,0.6315688078665773,0.057654080447528434,60,120,2.0
reach,14,fixed_rank4,7.993717617724655,1.031984506924414,extension56,same_receiving_gpu,12.00687438327806,1.0960726574753874,60,120,2.0
reach,14,matched_random_fixed_rank4,0.4940018679157716,0.06377536691443798,extension56,same_receiving_gpu,0.6992019900186915,0.06382811703095655,60,120,1.0
reach,15,fixed_rank4,4.346017884162978,0.5610684962560937,extension56,same_receiving_gpu,6.283269146429697,0.5735813743959627,60,120,3.0
reach,15,matched_random_fixed_rank4,3.9999364815350633,0.5163895792957597,extension56,same_receiving_gpu,9.052784277273084,0.8264023594817617,60,120,7.0
reach,16,fixed_rank4,3.2243974670089153e-06,4.162679230426303e-07,extension56,same_receiving_gpu,3.820765391191554e-06,3.4878656528177744e-07,60,120,4.0
reach,16,matched_random_fixed_rank4,7.095801707120479,0.9160640613222591,extension56,same_receiving_gpu,9.311998957546264,0.8500653140854467,60,120,6.0
reach,17,fixed_rank4,6.109314971504418,0.7887091713790749,extension56,same_receiving_gpu,8.019207906155652,0.7320501772542036,60,120,4.0
reach,17,matched_random_fixed_rank4,5.585902193456158,0.7211368722933059,extension56,same_receiving_gpu,8.519694169992524,0.7777381133250266,60,120,6.0
reach,18,fixed_rank4,7.086942022446465,0.914920280949089,extension56,same_receiving_gpu,11.249778963556215,1.0269596175478044,60,120,1.0
reach,18,matched_random_fixed_rank4,7.288275653030677,0.9409123408918934,extension56,same_receiving_gpu,11.469522581681243,1.0470193736336175,60,120,1.0
reach,19,fixed_rank4,6.425946184376875,0.8295860851905577,extension56,same_receiving_gpu,11.648786968596594,1.063383898378763,60,120,2.0
reach,19,matched_random_fixed_rank4,7.437938105720414,0.9602336804525567,extension56,same_receiving_gpu,12.306928080437945,1.1234636872082693,60,120,5.0
reach,20,fixed_rank4,13.185240827188792,1.7022072713145433,extension56,same_receiving_gpu,15.611654296984504,1.4251425364051449,60,120,1.0
reach,20,matched_random_fixed_rank4,13.185240239206227,1.7022071954063203,extension56,same_receiving_gpu,15.61165378108292,1.4251424893099889,60,120,1.0
reach,21,fixed_rank4,8.288081838705986,1.0699867644437477,extension56,same_receiving_gpu,9.434834604691254,0.8612786232199561,60,120,2.0
reach,21,matched_random_fixed_rank4,2.696725688688677e-06,3.4814578938603244e-07,extension56,same_receiving_gpu,2.747279889080123e-06,2.5079119450491234e-07,60,120,12.0
reach,22,fixed_rank4,6.587817454330508,0.8504835762825533,extension56,same_receiving_gpu,9.953637265020303,0.9086386098792747,60,120,2.0
reach,22,matched_random_fixed_rank4,7.423712302133989,0.9583971371066689,extension56,same_receiving_gpu,10.379452419942542,0.9475100374923524,60,120,2.0
reach,23,fixed_rank4,3.5969092039444712,0.4643589814899038,extension56,same_receiving_gpu,5.037466358639504,0.45985565955004426,60,120,4.0
reach,23,matched_random_fixed_rank4,3.300808737003262,0.4261325755809856,extension56,same_receiving_gpu,4.868043063094603,0.44438949942724315,60,120,5.0
reach,24,fixed_rank4,1.8312566557197332,0.23641421767446721,extension56,same_receiving_gpu,3.0654634697954593,0.2798372486025049,60,120,4.0
reach,24,matched_random_fixed_rank4,1.9919715548285637,0.25716242193233074,extension56,same_receiving_gpu,3.131733732228582,0.28588686820690634,60,120,1.0
