source_id,task,precision,modality,horizon,source_n,native_mse,metric,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high,missing_reason
S15,reach-wall,bfloat16,proprio,3,27,0.0004585782681232682,factorial_from_arm_losses,4.910939547519274e-07,2.532875120699332e-07,7.085074419053276e-07,27,0.10709054241966799,0.05254112137161458,0.16648743517151518,
S15,reach-wall,bfloat16,proprio,3,27,0.0004585782681232682,output_interaction_mse,4.07293179998788e-06,3.69957367055128e-06,4.4459702105518695e-06,27,0.8881650272387211,0.722285679284339,1.0723776347358769,
S15,reach-wall,bfloat16,proprio,3,27,0.0004585782681232682,additive_quadratic_cross,2.281972071808506e-06,2.079251394256073e-06,2.49223278904009e-06,27,0.497618886552884,0.4049178019852003,0.6051363215189873,
S15,reach-wall,bfloat16,proprio,3,27,0.0004585782681232682,nonadditive_mse_remainder,-1.7908778281727078e-06,-2.0223131897173573e-06,-1.5661989420541666e-06,27,-0.3905282811376728,-0.4691132193975277,-0.3135144326881728,
S15,reach-wall,bfloat16,proprio,4,27,0.0005705656631893542,factorial_from_arm_losses,3.618565608997453e-07,2.548556141037369e-08,7.200496362696207e-07,27,0.0634206690386932,0.004366429956108457,0.12118974962640268,
S15,reach-wall,bfloat16,proprio,5,27,0.0006885690914871555,factorial_from_arm_losses,4.977112922337465e-07,8.060389866583277e-08,8.898016055613054e-07,27,0.07228196827115797,0.011346442722883626,0.13486080685843713,
S15,reach-wall,bfloat16,proprio,6,27,0.000820065845690817,factorial_from_arm_losses,6.398787229921188e-07,-3.235771488601366e-08,1.2918043840266954e-06,27,0.07802772501189705,-0.0037218661748018218,0.16457884002044368,
S15,reach-wall,bfloat16,proprio,6,27,0.000820065845690817,output_interaction_mse,4.196303989388464e-06,3.917592541350667e-06,4.468797792813426e-06,27,0.5117032993678122,0.41492367834726424,0.62071635703773,
S15,reach-wall,bfloat16,proprio,6,27,0.000820065845690817,additive_quadratic_cross,2.407761312597755e-06,2.217555953313697e-06,2.5882257768437985e-06,27,0.2936058519263749,0.23454300255086533,0.36036403969155245,
S15,reach-wall,bfloat16,proprio,6,27,0.000820065845690817,nonadditive_mse_remainder,-1.7678822509815797e-06,-2.4111976232010634e-06,-1.1337330533692494e-06,27,-0.215578085622177,-0.30270620810838395,-0.13523318988887273,
S15,reach-wall,bfloat16,visual,1,27,0.12645697737641542,factorial_from_arm_losses,0.0,0.0,0.0,27,0.0,0.0,0.0,
S15,reach-wall,bfloat16,visual,1,27,0.12645697737641542,output_interaction_mse,0.0,0.0,0.0,27,0.0,0.0,0.0,
S15,reach-wall,bfloat16,visual,1,27,0.12645697737641542,additive_quadratic_cross,0.0,0.0,0.0,27,0.0,0.0,0.0,
S15,reach-wall,bfloat16,visual,1,27,0.12645697737641542,nonadditive_mse_remainder,0.0,0.0,0.0,27,0.0,0.0,0.0,
S15,reach-wall,bfloat16,visual,2,27,0.143563647572825,factorial_from_arm_losses,0.0,0.0,0.0,27,0.0,0.0,0.0,
S15,reach-wall,bfloat16,visual,3,27,0.16012056307568226,factorial_from_arm_losses,-6.092143371517108e-05,-7.61676603859188e-05,-4.489988732485007e-05,27,-0.03804722675523948,-0.04828684805237945,-0.02737184436689569,
S15,reach-wall,bfloat16,visual,3,27,0.16012056307568226,output_interaction_mse,0.0001252279506405574,0.00012414528728590488,0.00012637985914897186,27,0.07820853751392781,0.07441229063034331,0.0820730231096284,
S15,reach-wall,bfloat16,visual,3,27,0.16012056307568226,additive_quadratic_cross,-2.7395909248816174e-06,-7.935431147488038e-06,2.2907056056955884e-06,27,-0.001710955090500605,-0.005029172022665551,0.0013986730266322134,
S15,reach-wall,bfloat16,visual,3,27,0.16012056307568226,nonadditive_mse_remainder,-5.818149550852894e-05,-7.16745098565786e-05,-4.3436888306896e-05,27,-0.036336054777067577,-0.045399377433904216,-0.026601272387927706,
S15,reach-wall,bfloat16,visual,4,27,0.1759804606046758,factorial_from_arm_losses,-2.805423451427075e-05,-5.075609535669047e-05,-5.3888569689493875e-06,27,-0.015941675807572785,-0.028788071975758493,-0.003114934943108893,
S15,reach-wall,bfloat16,visual,5,27,0.19257885116485904,factorial_from_arm_losses,-1.6230153908701422e-05,-4.9522082597292014e-05,1.533607268176254e-05,27,-0.00842779661968564,-0.025641889985761404,0.00791723806078406,
S15,reach-wall,bfloat16,visual,6,27,0.2090970272083341,factorial_from_arm_losses,-1.0983487246217042e-05,-5.432893568075996e-05,2.7137440859257847e-05,27,-0.005252818460816102,-0.025966510376630222,0.012886835494749723,
S15,reach-wall,bfloat16,visual,6,27,0.2090970272083341,output_interaction_mse,0.00019807881280153926,0.00019452898635487749,0.00020203456383479748,27,0.0947305733831324,0.08837366729698318,0.1013941643063593,
