task,episode,bank,layer,mode,modality,spearman,top10_overlap_count,centered_cost_change_rms,cost_change_mean,cost_change_rms
reach,0,original,5,random,visual,0.9993248813875709,9,0.003735136346610317,1.1074542999267577e-06,0.003735136510788393
reach,0,original,5,random,proprio,0.9991933243702708,10,0.002293292625322259,-0.00017168534298737844,0.002299710182252136
reach,0,original,5,random,official,0.9993266591851021,10,0.0038732045241725386,-1.6063451766967773e-05,0.003873237834235498
reach,0,fresh,0,permute,visual,0.9976079734219269,9,0.006786238876630712,0.00018552303314208984,0.006788774328737133
reach,0,fresh,0,permute,proprio,0.9989946554961722,9,0.00305208145073934,0.00016233384609222413,0.0030563955011637884
reach,0,fresh,0,permute,official,0.9980839787108746,9,0.006967137357559546,0.00020176410675048828,0.006970058228872599
reach,0,fresh,0,random,visual,0.9993644373826376,9,0.0031391977966334366,-0.0003696866830190023,0.003160890863346885
reach,0,fresh,0,random,proprio,0.9995884398715541,10,0.001733926016040286,-0.00030200719833374024,0.001760030618184449
reach,0,fresh,0,random,official,0.999384882054245,10,0.0032593745626726413,-0.00039988319079081215,0.003283813195977279
reach,0,fresh,1,permute,visual,0.9896109956777297,8,0.014958323829515565,0.00014374693234761555,0.014959014505281172
reach,0,fresh,1,permute,proprio,0.993789708774542,8,0.008487006342057724,4.392373065153758e-05,0.008487120002936355
reach,0,fresh,1,permute,official,0.9901653340776442,8,0.015546418072109157,0.00014814456303914388,0.015547123903936711
reach,0,fresh,1,random,visual,0.9992919921332459,9,0.003876531399001684,-0.00011107325553894043,0.003878122349222878
reach,0,fresh,1,random,proprio,0.9993844376048623,10,0.0022538532880107837,-8.557364344596863e-05,0.002255477220529979
reach,0,fresh,1,random,official,0.9992271025233613,9,0.004005925348147038,-0.00011963129043579101,0.004007711259631649
reach,0,fresh,2,permute,visual,0.9964226269180768,9,0.009058583632670644,0.00040390451749165853,0.009067583817607569
reach,0,fresh,2,permute,proprio,0.9983124256936188,9,0.004236364260688362,0.0001335413008928299,0.004238468523922502
reach,0,fresh,2,permute,official,0.9968132979255325,9,0.009394312354241544,0.0004172670841217041,0.009403574662251942
reach,0,fresh,2,random,visual,0.9994671051900577,9,0.003042075030154624,0.00010769923528035482,0.003043980882720887
reach,0,fresh,2,random,proprio,0.9995275503061145,10,0.00205098034045407,-8.608579635620117e-05,0.002052786184984538
reach,0,fresh,2,random,official,0.9995031055900621,9,0.003162803847980886,9.90895430246989e-05,0.003164355687709513
reach,0,fresh,3,permute,visual,0.9990217669085212,9,0.004119418941553926,-0.00017284234364827475,0.004123043401638053
reach,0,fresh,3,permute,proprio,0.9992133245924955,10,0.002630335790763021,-5.427313347657522e-05,0.0026308956545606846
