task,episode,bank,arm,modality,horizon,numerator_mse_mean,denominator_mse_mean,donor_reconstruction,zero_denominator_candidates,native_spearman,spearman_loss,native_top10_overlap,cost_change_mean,cost_change_rms,centered_cost_change_rms
reach,0,original,coherent_raw_h3,official,6,0,0.16650886986267652,1,0,0.72891921021344686,0.27108078978655314,7,-0.0039886717001597089,0.090849547198554897,0.090761945352944032
reach,0,original,all_blocks_h3_donor,visual,3,0,0.040517912780778015,1,0,0.9175079723108035,0.082492027689196501,8,0.0010180242856343588,0.046165937625896214,0.046154711822651413
reach,0,original,all_blocks_h3_donor,visual,4,0.077985973938141037,0.1470230994375272,0.46956652229142604,0,0.9175079723108035,0.082492027689196501,8,0.0010180242856343588,0.046165937625896214,0.046154711822651413
reach,0,original,all_blocks_h3_donor,visual,6,0.082137226847129916,0.16613103894885894,0.50558771336875408,0,0.9175079723108035,0.082492027689196501,8,0.0010180242856343588,0.046165937625896214,0.046154711822651413
reach,0,original,all_blocks_h3_donor,proprio,3,0,0.0010070478170892338,1,0,0.94051178346426068,0.059488216535739324,9,0.00040521577000617981,0.025011356422149987,0.025008073701418141
reach,0,original,all_blocks_h3_donor,proprio,4,0.0016300701057156604,0.0035842047453587657,0.54520731333039496,0,0.94051178346426068,0.059488216535739324,9,0.00040521577000617981,0.025011356422149987,0.025008073701418141
reach,0,original,all_blocks_h3_donor,proprio,6,0.0014544403153483306,0.0037783091381756464,0.61505523710253995,0,0.94051178346426068,0.059488216535739324,9,0.00040521577000617981,0.025011356422149987,0.025008073701418141
reach,0,original,all_blocks_h3_donor,official,3,0,0.040618617562486942,1,0,0.92074978610873459,0.079250213891265409,9,0.0010585411389668782,0.048210758302605163,0.048199135954592867
reach,0,original,all_blocks_h3_donor,official,4,0.078148980948712601,0.14738151991206308,0.46975047485369192,0,0.92074978610873459,0.079250213891265409,9,0.0010585411389668782,0.048210758302605163,0.048199135954592867
reach,0,original,all_blocks_h3_donor,official,6,0.082282670878664727,0.16650886986267652,0.50583610983291738,0,0.92074978610873459,0.079250213891265409,9,0.0010585411389668782,0.048210758302605163,0.048199135954592867
reach,0,original,all_blocks_persistent_donor,visual,3,0,0.040517912780778015,1,0,0.72406360070667453,0.27593639929332547,6,-0.0039632701873779297,0.08657738070088894,0.086486619418546462
reach,0,original,all_blocks_persistent_donor,visual,4,0,0.1470230994375272,1,0,0.72406360070667453,0.27593639929332547,6,-0.0039632701873779297,0.08657738070088894,0.086486619418546462
reach,0,original,all_blocks_persistent_donor,visual,6,0,0.16613103894885894,1,0,0.72406360070667453,0.27593639929332547,6,-0.0039632701873779297,0.08657738070088894,0.086486619418546462
reach,0,original,all_blocks_persistent_donor,proprio,3,0,0.0010070478170892338,1,0,0.76639518216869074,0.23360481783130926,7,-0.00025392820437749225,0.052170374901712051,0.052169756927286988
reach,0,original,all_blocks_persistent_donor,proprio,4,0,0.0035842047453587657,1,0,0.76639518216869074,0.23360481783130926,7,-0.00025392820437749225,0.052170374901712051,0.052169756927286988
