task,bank,arm,modality,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,horizon
reach,fresh,coherent_raw_h3,visual,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,visual,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,visual,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,official,reference_spearman,100,100,0.7670159836063221,0.7611671052901031,0.7728143366192627,
reach,fresh,donor_h3_B0,official,reference_top10_overlap,100,100,4.21,3.95,4.470000000000001,
reach,fresh,donor_h3_B0,official,winner_changed,100,100,0.71,0.62,0.7999999999999999,
reach,fresh,donor_h3_B0,official,selected_in_reference_minimum_set,100,100,0.29,0.2,0.38,
reach,fresh,donor_h3_B0,official,excess_reference_cost,100,100,0.10745092272758484,0.0832010038793087,0.13375096419453622,
reach,fresh,donor_h3_B0,official,excess_reference_cost_percent,100,100,5.952445432953471,4.428002138394596,7.6557939971397175,
reach,fresh,donor_h3_B0,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,proprio,reference_spearman,100,100,0.7819857909532328,0.7767045038278203,0.787199474771942,
reach,fresh,donor_h3_B0,proprio,reference_top10_overlap,100,100,4.75,4.48,5.0200000000000005,
reach,fresh,donor_h3_B0,proprio,winner_changed,100,100,0.67,0.58,0.76,
reach,fresh,donor_h3_B0,proprio,selected_in_reference_minimum_set,100,100,0.33,0.24,0.42000000000000004,
reach,fresh,donor_h3_B0,proprio,excess_reference_cost,100,100,0.02455377032980323,0.01912765363976359,0.030357971918303504,
reach,fresh,donor_h3_B0,proprio,excess_reference_cost_percent,100,100,34.91515132975823,26.859807349902894,43.6565240998003,
reach,fresh,donor_h3_B0,proprio,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,proprio,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,proprio,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,proprio,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,visual,reference_spearman,100,100,0.7654748265123053,0.7595050604444201,0.7713927734716983,
reach,fresh,donor_h3_B0,visual,reference_top10_overlap,100,100,4.22,3.960000000000001,4.48,
reach,fresh,donor_h3_B0,visual,winner_changed,100,100,0.73,0.64,0.81,
reach,fresh,donor_h3_B0,visual,selected_in_reference_minimum_set,100,100,0.27,0.19,0.36,
reach,fresh,donor_h3_B0,visual,excess_reference_cost,100,100,0.10116299748420715,0.0780880671441555,0.1263158033788204,
reach,fresh,donor_h3_B0,visual,excess_reference_cost_percent,100,100,5.556808225860258,4.137824537726932,7.1673746439026536,
reach,fresh,donor_h3_B0,visual,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,visual,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,visual,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B0,visual,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,official,reference_spearman,100,100,0.8091207132826734,0.8040109819846797,0.8141156584873237,
reach,fresh,donor_h3_B1,official,reference_top10_overlap,100,100,4.58,4.330000000000001,4.83,
reach,fresh,donor_h3_B1,official,winner_changed,100,100,0.66,0.57,0.75,
reach,fresh,donor_h3_B1,official,selected_in_reference_minimum_set,100,100,0.34,0.25,0.43000000000000005,
reach,fresh,donor_h3_B1,official,excess_reference_cost,100,100,0.08538497328758239,0.06576099175214768,0.10643943059444426,
reach,fresh,donor_h3_B1,official,excess_reference_cost_percent,100,100,4.623112180617023,3.440330767293291,5.9215302099964,
reach,fresh,donor_h3_B1,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,proprio,reference_spearman,100,100,0.826627121173361,0.8222285029763374,0.8309554958219681,
reach,fresh,donor_h3_B1,proprio,reference_top10_overlap,100,100,5.25,4.990000000000001,5.510000000000002,
reach,fresh,donor_h3_B1,proprio,winner_changed,100,100,0.64,0.5499999999999999,0.73,
reach,fresh,donor_h3_B1,proprio,selected_in_reference_minimum_set,100,100,0.36,0.27,0.45000000000000007,
reach,fresh,donor_h3_B1,proprio,excess_reference_cost,100,100,0.021732065733522175,0.01656034520175308,0.02728512921463697,
reach,fresh,donor_h3_B1,proprio,excess_reference_cost_percent,100,100,30.584494792802644,22.910322005650173,39.03024558655663,
reach,fresh,donor_h3_B1,proprio,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,proprio,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,proprio,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,proprio,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,visual,reference_spearman,100,100,0.8074712744972562,0.8022522083206177,0.81258591793464,
reach,fresh,donor_h3_B1,visual,reference_top10_overlap,100,100,4.56,4.300000000000001,4.82,
reach,fresh,donor_h3_B1,visual,winner_changed,100,100,0.68,0.59,0.77,
reach,fresh,donor_h3_B1,visual,selected_in_reference_minimum_set,100,100,0.32,0.23,0.41000000000000003,
reach,fresh,donor_h3_B1,visual,excess_reference_cost,100,100,0.08452152609825134,0.06524382162094117,0.1052002637386322,
reach,fresh,donor_h3_B1,visual,excess_reference_cost_percent,100,100,4.600426166658757,3.432580610478371,5.879241550109349,
reach,fresh,donor_h3_B1,visual,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,visual,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,visual,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B1,visual,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,official,reference_spearman,100,100,0.7715134764511472,0.7652848714662842,0.7775490824024008,
reach,fresh,donor_h3_B2,official,reference_top10_overlap,100,100,4.32,4.08,4.57,
reach,fresh,donor_h3_B2,official,winner_changed,100,100,0.71,0.62,0.7999999999999999,
reach,fresh,donor_h3_B2,official,selected_in_reference_minimum_set,100,100,0.29,0.2,0.38,
reach,fresh,donor_h3_B2,official,excess_reference_cost,100,100,0.10077743172645569,0.07804213160276413,0.12531587257981303,
reach,fresh,donor_h3_B2,official,excess_reference_cost_percent,100,100,5.4935191386381765,4.082376855018679,7.0825112733106055,
reach,fresh,donor_h3_B2,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,proprio,reference_spearman,100,100,0.792886236513739,0.7878862590695452,0.7978028633651485,
reach,fresh,donor_h3_B2,proprio,reference_top10_overlap,100,100,5.0,4.730000000000001,5.270000000000001,
reach,fresh,donor_h3_B2,proprio,winner_changed,100,100,0.64,0.55,0.73,
reach,fresh,donor_h3_B2,proprio,selected_in_reference_minimum_set,100,100,0.36,0.27,0.45,
reach,fresh,donor_h3_B2,proprio,excess_reference_cost,100,100,0.023499320056289436,0.018130485629662872,0.02931180004589259,
reach,fresh,donor_h3_B2,proprio,excess_reference_cost_percent,100,100,33.338594201710606,25.367289027342252,41.96747949392297,
reach,fresh,donor_h3_B2,proprio,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,proprio,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,proprio,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
