task,layer,horizon,head,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,0,4,9,visual_mass,32,32,0.99999999278225,0.9999999906867743,0.9999999948777258
reach,0,4,10,spatial_distance_patches,32,32,7.616423093180476,7.60592353778093,7.626508757902901
reach,0,4,10,temporal_distance_frames,32,32,0.09870852231405218,0.09789003758331156,0.09947223541963494
reach,0,4,10,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,4,10,visual_mass,32,32,0.9999999960418791,0.999999993480742,0.9999999986030161
reach,0,4,11,spatial_distance_patches,32,32,7.569531283522244,7.5619690950781555,7.577402710152536
reach,0,4,11,temporal_distance_frames,32,32,0.20731484433710923,0.20646807058674607,0.2081041396461701
reach,0,4,11,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,4,11,visual_mass,32,32,0.9999999939464033,0.9999999918509275,0.9999999960418791
reach,0,4,12,spatial_distance_patches,32,32,7.851323754616082,7.844218944440769,7.858641621123891
reach,0,4,12,temporal_distance_frames,32,32,0.12289393261208163,0.12186354281757482,0.12391110767950896
reach,0,4,12,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,4,12,visual_mass,32,32,0.9999999944120646,0.9999999923165888,0.9999999962747097
reach,0,4,13,spatial_distance_patches,32,32,7.256340155444409,7.25068540317463,7.262352151587605
reach,0,4,13,temporal_distance_frames,32,32,0.19005466030818635,0.18887956673527392,0.1912011758399172
reach,0,4,13,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,4,13,visual_mass,32,32,0.9999999951105565,0.9999999925494194,0.9999999976716936
reach,0,4,14,spatial_distance_patches,32,32,6.826282687551364,6.81930036117991,6.8330194406221425
reach,0,4,14,temporal_distance_frames,32,32,0.2504885891147394,0.24987835544912237,0.2510887357259354
reach,0,4,14,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,4,14,visual_mass,32,32,0.9999999937135726,0.9999999909196049,0.9999999962747097
reach,0,4,15,spatial_distance_patches,32,32,7.012665109041728,6.999386485176926,7.025314346099984
