task,episode,layer,horizon,head,T,H,W,action_tokens,spatial_distance_patches,temporal_distance_frames,conditioning_mass,visual_mass
reach,0,2,1,0,1,16,16,0,7.025053725019898,0.0,0.0,0.9999999850988388
reach,0,2,1,1,1,16,16,0,6.500532008715451,0.0,0.0,0.9999999850988388
reach,0,2,1,2,1,16,16,0,6.602779150009155,0.0,0.0,1.0
reach,0,2,1,3,1,16,16,0,6.744890213012695,0.0,0.0,1.0
reach,0,2,1,4,1,16,16,0,7.854487895965576,0.0,0.0,1.0
reach,0,2,1,5,1,16,16,0,7.629001492694043,0.0,0.0,0.9999999850988388
reach,0,2,1,6,1,16,16,0,7.952216982841492,0.0,0.0,1.0
reach,0,2,1,7,1,16,16,0,7.903808711525928,0.0,0.0,0.9999999850988388
reach,0,2,1,8,1,16,16,0,6.680545071967618,0.0,0.0,0.9999999850988388
reach,0,2,1,9,1,16,16,0,7.380212903022766,0.0,0.0,1.0
reach,0,2,1,10,1,16,16,0,7.009764075279236,0.0,0.0,1.0
reach,0,2,1,11,1,16,16,0,7.465450882911682,0.0,0.0,1.0
reach,0,2,1,12,1,16,16,0,7.24955759196155,0.0,0.0,0.9999999701976776
reach,0,2,1,13,1,16,16,0,6.646212697029114,0.0,0.0,1.0
reach,0,2,1,14,1,16,16,0,7.183899497506007,0.0,0.0,0.9999999701976776
reach,0,2,1,15,1,16,16,0,6.970870241088722,0.0,0.0,0.9999999850988388
reach,0,3,1,0,1,16,16,0,6.061824917793274,0.0,0.0,1.0
reach,0,3,1,1,1,16,16,0,7.804071185053456,0.0,0.0,0.9999999850988388
reach,0,3,1,2,1,16,16,0,6.652989745140076,0.0,0.0,1.0
reach,0,3,1,3,1,16,16,0,7.803072327466975,0.0,0.0,0.9999999701976776
reach,0,3,1,4,1,16,16,0,7.014784336090088,0.0,0.0,1.0
reach,0,3,1,5,1,16,16,0,6.851118087768555,0.0,0.0,1.0
reach,0,3,1,6,1,16,16,0,7.426364421844482,0.0,0.0,1.0
reach,0,3,1,7,1,16,16,0,7.421429991722107,0.0,0.0,1.0
reach,0,3,1,8,1,16,16,0,6.974075794219971,0.0,0.0,1.0
reach,0,3,1,9,1,16,16,0,7.423082334491084,0.0,0.0,0.9999999701976776
reach,0,3,1,10,1,16,16,0,7.609336018562317,0.0,0.0,1.0
reach,0,3,1,11,1,16,16,0,7.297930955886841,0.0,0.0,1.0
reach,0,3,1,12,1,16,16,0,9.063867568969727,0.0,0.0,1.0
reach,0,3,1,13,1,16,16,0,7.778587099590705,0.0,0.0,0.9999999850988388
reach,0,3,1,14,1,16,16,0,6.3043142557144165,0.0,0.0,1.0
reach,0,3,1,15,1,16,16,0,7.5837396321257895,0.0,0.0,0.9999999850988388
reach,0,4,1,0,1,16,16,0,5.238680321554546,0.0,0.0,0.9999999850988388
reach,0,4,1,1,1,16,16,0,6.678700566291809,0.0,0.0,1.0
reach,0,4,1,2,1,16,16,0,0.8010008339770138,0.0,0.0,1.0
reach,0,4,1,3,1,16,16,0,7.134807348251343,0.0,0.0,1.0
reach,0,4,1,4,1,16,16,0,6.843153715133667,0.0,0.0,1.0
reach,0,4,1,5,1,16,16,0,6.418887687292328,0.0,0.0,0.9999999701976776
reach,0,4,1,6,1,16,16,0,2.3530242443084717,0.0,0.0,1.0
reach,0,4,1,7,1,16,16,0,7.925547479473762,0.0,0.0,0.9999999850988388
reach,0,4,1,8,1,16,16,0,7.0115286111831665,0.0,0.0,1.0
reach,0,4,1,9,1,16,16,0,7.449142908266615,0.0,0.0,0.9999999552965164
reach,0,4,1,10,1,16,16,0,6.146031975746155,0.0,0.0,1.0
reach,0,4,1,11,1,16,16,0,6.689620494842529,0.0,0.0,1.0
reach,0,4,1,12,1,16,16,0,5.990924596786499,0.0,0.0,1.0
reach,0,4,1,13,1,16,16,0,3.289641250515599,0.0,0.0,0.9999999850988388
reach,0,4,1,14,1,16,16,0,6.81880913404836,0.0,0.0,0.9999999850988388
reach,0,4,1,15,1,16,16,0,9.45238208770752,0.0,0.0,1.0
reach,0,5,1,0,1,16,16,0,7.535907023190067,0.0,0.0,0.9999999850988388
reach,0,5,1,1,1,16,16,0,4.193513631820679,0.0,0.0,1.0
reach,0,5,1,2,1,16,16,0,5.128148827795649,0.0,0.0,0.9999999701976776
reach,0,5,1,3,1,16,16,0,7.149842739105225,0.0,0.0,1.0
reach,0,5,1,4,1,16,16,0,7.134664403418666,0.0,0.0,0.9999999850988388
reach,0,5,1,5,1,16,16,0,7.359796276089494,0.0,0.0,0.9999999850988388
reach,0,5,1,6,1,16,16,0,7.1642820835113525,0.0,0.0,1.0
reach,0,5,1,7,1,16,16,0,7.385093918220608,0.0,0.0,0.9999999850988388
reach,0,5,1,8,1,16,16,0,4.952377796173096,0.0,0.0,1.0
reach,0,5,1,9,1,16,16,0,5.423428893089294,0.0,0.0,1.0
reach,0,5,1,10,1,16,16,0,5.166975532978044,0.0,0.0,0.9999999701976776
reach,0,5,1,11,1,16,16,0,7.1839365715961625,0.0,0.0,0.9999999701976776
reach,0,5,1,12,1,16,16,0,7.154062616140584,0.0,0.0,0.9999999850988388
reach,0,5,1,13,1,16,16,0,7.228595614433289,0.0,0.0,1.0
reach,0,5,1,14,1,16,16,0,6.035635948181152,0.0,0.0,1.0
reach,0,5,1,15,1,16,16,0,6.89050829410553,0.0,0.0,1.0
reach,0,0,2,0,2,16,16,0,8.10601788838221,0.13218578794737001,0.0,0.9999999925494194
reach,0,0,2,1,2,16,16,0,7.646600661028926,0.23993751585436995,0.0,0.9999999925494194
reach,0,0,2,2,2,16,16,0,7.009916603565216,0.1604386754333973,0.0,1.0
reach,0,0,2,3,2,16,16,0,7.831487417221069,0.11300632357597351,0.0,1.0
reach,0,0,2,4,2,16,16,0,8.318254351615906,0.05568448640406132,0.0,1.0
reach,0,0,2,5,2,16,16,0,7.426969047091671,0.13624807176178746,0.0,0.9999999925494194
reach,0,0,2,6,2,16,16,0,7.85264664888382,0.23043236508965492,0.0,1.0
reach,0,0,2,7,2,16,16,0,8.023158133202479,0.2544245515348356,0.0,0.9999999925494194
reach,0,0,2,8,2,16,16,0,7.275758672889451,0.07090549835421887,0.0,0.9999999850988388
reach,0,0,2,9,2,16,16,0,6.999941289424896,0.047732267528772354,0.0,1.0
reach,0,0,2,10,2,16,16,0,7.608913421630859,0.09745191782712936,0.0,1.0
reach,0,0,2,11,2,16,16,0,7.475293513203364,0.21538355734485057,0.0,0.9999999925494194
reach,0,0,2,12,2,16,16,0,7.836009979248047,0.13090298138558865,0.0,1.0
reach,0,0,2,13,2,16,16,0,7.259906876979871,0.18649595508718422,0.0,0.9999999850988388
reach,0,0,2,14,2,16,16,0,6.865057698376907,0.2543257121319004,0.0,0.9999999925494194
reach,0,0,2,15,2,16,16,0,6.949181079864502,0.10746249742805958,0.0,1.0
reach,0,1,2,0,2,16,16,0,7.770624279975891,0.18038074672222137,0.0,1.0
reach,0,1,2,1,2,16,16,0,7.941768466992441,0.20248166250051305,0.0,0.9999999925494194
reach,0,1,2,2,2,16,16,0,7.08965329959472,0.12320091013909742,0.0,0.9999999850988388
reach,0,1,2,3,2,16,16,0,6.9129104018211365,0.08033603429794312,0.0,1.0
reach,0,1,2,4,2,16,16,0,7.720837410104832,0.24729224290389185,0.0,0.9999999850988388
reach,0,1,2,5,2,16,16,0,7.326328928219742,0.23425429488907973,0.0,0.9999999925494194
reach,0,1,2,6,2,16,16,0,8.178835214516782,0.15432874414569694,0.0,0.9999999925494194
reach,0,1,2,7,2,16,16,0,8.019511044025421,0.20515442080795765,0.0,1.0
reach,0,1,2,8,2,16,16,0,7.24032461643219,0.23194263875484467,0.0,1.0
reach,0,1,2,9,2,16,16,0,8.358787178993225,0.09936285763978958,0.0,1.0
reach,0,1,2,10,2,16,16,0,7.448452822095943,0.12561118231134388,0.0,0.9999999850988388
reach,0,1,2,11,2,16,16,0,7.521629505181752,0.02662821177025455,0.0,0.9999999850988388
reach,0,1,2,12,2,16,16,0,7.618938505649567,0.21519165486097336,0.0,1.0
reach,0,1,2,13,2,16,16,0,8.081575870513916,0.3282480537891388,0.0,1.0
reach,0,1,2,14,2,16,16,0,6.086149632930756,0.10926478169858456,0.0,1.0
reach,0,1,2,15,2,16,16,0,7.661027369357849,0.12937118395694483,0.0,0.9999999925494194
reach,0,2,2,0,2,16,16,0,7.037952117904664,0.04619510878767899,0.0,0.9999999925494194
reach,0,2,2,1,2,16,16,0,6.4757431745529175,0.00381710976944305,0.0,1.0
reach,0,2,2,2,2,16,16,0,6.631445646286011,0.012021357659250498,0.0,1.0
reach,0,2,2,3,2,16,16,0,6.744546830654144,0.13601036742329597,0.0,1.0
reach,0,2,2,4,2,16,16,0,7.965819478289638,0.01654635823110969,0.0,1.0000000074505806
reach,0,2,2,5,2,16,16,0,7.582994514450349,0.20664564082988562,0.0,0.9999999850988388
reach,0,2,2,6,2,16,16,0,7.988114297301428,0.2256226705433627,0.0,0.9999999925494194
reach,0,2,2,7,2,16,16,0,7.966614246119665,0.19225871333672637,0.0,0.9999999925494194
reach,0,2,2,8,2,16,16,0,6.730472922325134,0.18009303882718086,0.0,1.0
reach,0,2,2,9,2,16,16,0,7.3298934052131575,0.04102517043072857,0.0,0.9999999925494194
reach,0,2,2,10,2,16,16,0,7.007577233072945,0.20411925914972467,0.0,0.9999999925494194
reach,0,2,2,11,2,16,16,0,7.479287084037714,0.04085248506331805,0.0,0.9999999925494194
reach,0,2,2,12,2,16,16,0,7.2869926041885655,0.2631594968077503,0.0,0.9999999925494194
reach,0,2,2,13,2,16,16,0,6.655120293127303,0.04786887789694783,0.0,0.9999999850988388
reach,0,2,2,14,2,16,16,0,7.266250133514404,0.09625716414302588,0.0,1.0
reach,0,2,2,15,2,16,16,0,7.000060796737671,0.06432109605520964,0.0,1.0
reach,0,3,2,0,2,16,16,0,6.058986828170618,0.0020149241322599287,0.0,0.9999999925494194
reach,0,3,2,1,2,16,16,0,7.778213202953339,0.00424980279058218,0.0,1.0
reach,0,3,2,2,2,16,16,0,6.617926299571991,0.01070612866897136,0.0,1.0
reach,0,3,2,3,2,16,16,0,7.808584867481774,0.19916504397366228,0.0,0.9999999925494194
reach,0,3,2,4,2,16,16,0,7.006935529462512,0.019833860717407323,0.0,0.9999999925494194
reach,0,3,2,5,2,16,16,0,6.831121674411905,0.013830474797304532,0.0,0.9999999925494194
reach,0,3,2,6,2,16,16,0,7.401936765029555,0.0025483743128245644,0.0,0.9999999925494194
reach,0,3,2,7,2,16,16,0,7.399339909846633,0.0041459864605384806,0.0,0.9999999925494194
reach,0,3,2,8,2,16,16,0,6.902220113608541,0.006062810574197182,0.0,0.9999999850988388
reach,0,3,2,9,2,16,16,0,7.23571126514243,0.28976808175099017,0.0,0.9999999850988388
reach,0,3,2,10,2,16,16,0,7.5852643847465515,0.009953344881068915,0.0,1.0
reach,0,3,2,11,2,16,16,0,7.214346701013644,0.15375602546152492,0.0,0.9999999925494194
reach,0,3,2,12,2,16,16,0,9.051616378513101,0.04450074709579905,0.0,0.9999999925494194
reach,0,3,2,13,2,16,16,0,7.702922520808298,0.05273044334896239,0.0,0.9999999925494194
reach,0,3,2,14,2,16,16,0,6.283464001740992,0.01943086521275986,0.0,0.9999999925494194
reach,0,3,2,15,2,16,16,0,7.584088557721504,0.032792764273178045,0.0,0.9999999850988388
reach,0,4,2,0,2,16,16,0,5.279727905988693,0.3348761945962906,0.0,1.0
reach,0,4,2,1,2,16,16,0,6.651345252990723,0.001010095596939209,0.0,1.0
