task,episode,arm,predicted_H3_own_minus_native,actual_H3_own_minus_native,preference_reversal,predicted_tie,actual_tie,predicted_preference_sign,actual_preference_sign,reverse_direction_disagreement,non_tied_agreement,either_tie
reach-wall,25,matched_random_fixed_rank4,-1.862645593320167e-10,0.0,False,False,True,-1,0,False,False,True
reach-wall,26,fixed_rank4,-0.026330451574176683,0.09943759292364085,True,False,False,-1,1,False,False,False
reach-wall,26,matched_random_fixed_rank4,9.313225746154785e-10,0.0,False,False,True,1,0,False,False,True
reach-wall,27,fixed_rank4,-0.005267522949725212,0.08810309767723101,True,False,False,-1,1,False,False,False
reach-wall,27,matched_random_fixed_rank4,4.656612873077393e-10,0.0,False,False,True,1,0,False,False,True
reach-wall,28,fixed_rank4,0.006418362259864807,0.00044199973344793975,False,False,False,1,1,False,True,False
reach-wall,28,matched_random_fixed_rank4,1.2256205095262374e-07,0.0,False,False,True,1,0,False,False,True
reach-wall,29,fixed_rank4,-0.11963815949857226,0.0701827824115755,True,False,False,-1,1,False,False,False
reach-wall,29,matched_random_fixed_rank4,-0.04720705226063737,0.0001461088657381815,True,False,False,-1,1,False,False,False
reach-wall,30,fixed_rank4,0.06947815530002122,0.023623344302177607,False,False,False,1,1,False,True,False
reach-wall,30,matched_random_fixed_rank4,0.08515357356518494,0.016366831958293915,False,False,False,1,1,False,True,False
reach-wall,31,fixed_rank4,0.002452192641794637,0.002686993777751834,False,False,False,1,1,False,True,False
reach-wall,31,matched_random_fixed_rank4,-0.003765650466084347,0.011729547381400973,True,False,False,-1,1,False,False,False
