task,model_arm,plan_arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,predicted_goal_cost_proprio,28,0.03178723555590425,0.018884279316094113,0.0035687933399332805,0.025339158587822957,0.03886795225553214,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,predicted_goal_cost_weighted,28,1.6665122842948352,0.33674312926808353,0.06363846969664463,1.5467522158217613,1.79190398706223,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,actual_goal_cost_visual,28,2.2095989201750075,0.28380156184986316,0.053633453881889566,2.105283450654574,2.311660858775888,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,actual_goal_cost_proprio,28,0.15399217339498655,0.04166052966016823,0.007873100069145381,0.1389889738588993,0.1693311030909951,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,actual_goal_cost_weighted,28,2.224998137514506,0.287334544001779,0.0543011247504895,2.1193497850227034,2.328461676704298,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,predicted_minus_actual_goal_cost_visual,28,-0.5462653594357627,0.1500611085876652,0.028358883913258647,-0.5991162348006454,-0.49120671419160705,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,predicted_minus_actual_goal_cost_proprio,28,-0.1222049378390823,0.03702935966882485,0.006997891206548258,-0.13588706863146008,-0.10904820430524914,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,predicted_minus_actual_goal_cost_weighted,28,-0.5584858532196708,0.15064108147583946,0.02846848848677786,-0.6115939586338521,-0.5032948229688087,,,,descriptive_only
reach,matched_random_fixed_rank4,native,actual_endpoint_mse_visual,28,1.146814497453826,0.20348299325858255,0.03845467115666014,1.0722105516386882,1.2199451874941585,,,,descriptive_only
reach,matched_random_fixed_rank4,native,actual_endpoint_mse_proprio,28,0.05638387839176825,0.02366242806711668,0.004471778577253251,0.04790969976290528,0.06497708570677785,,,,descriptive_only
reach,matched_random_fixed_rank4,native,actual_endpoint_mse_weighted,28,1.152452885293003,0.2055151141990651,0.038838705916840396,1.0771962462222604,1.226414196663536,,,,descriptive_only
reach,matched_random_fixed_rank4,native,predicted_goal_cost_visual,28,1.6604986914566584,0.336018384361141,0.06350150578323531,1.5414021372795104,1.785404105165175,,,,descriptive_only
reach,matched_random_fixed_rank4,native,predicted_goal_cost_proprio,28,0.03124971884036703,0.017400680954288934,0.0032884196034447567,0.025326536572538316,0.03786211207708609,,,,descriptive_only
reach,matched_random_fixed_rank4,native,predicted_goal_cost_weighted,28,1.6636236633406951,0.3373259216655084,0.06374860710732787,1.543993888991868,1.7888611586767778,,,,descriptive_only
reach,matched_random_fixed_rank4,native,actual_goal_cost_visual,28,2.204130130154746,0.29687784329064504,0.056104638793732294,2.096735211036035,2.311395503154823,,,,descriptive_only
reach,matched_random_fixed_rank4,native,actual_goal_cost_proprio,28,0.1509401902024235,0.03876039317341978,0.007325025789711028,0.13684974572222147,0.16510396053615425,,,,descriptive_only
reach,matched_random_fixed_rank4,native,actual_goal_cost_weighted,28,2.2192241491749884,0.30016441999994886,0.0567257434107005,2.1107461077799754,2.3279055295838043,,,,descriptive_only
reach,matched_random_fixed_rank4,native,predicted_minus_actual_goal_cost_visual,28,-0.5436314386980874,0.15034423092697363,0.028412389006145573,-0.5972215004265308,-0.4890092645372664,,,,descriptive_only
reach,matched_random_fixed_rank4,native,predicted_minus_actual_goal_cost_proprio,28,-0.11969047136205647,0.03382308401475455,0.00639196206259176,-0.1320720211070563,-0.10751187718955668,,,,descriptive_only
reach,matched_random_fixed_rank4,native,predicted_minus_actual_goal_cost_weighted,28,-0.555600485834293,0.15157007306152204,0.02864405139433412,-0.6096879037053023,-0.5004699281549879,,,,descriptive_only
reach,native,fixed_rank4,actual_endpoint_mse_visual,28,1.1476769830499376,0.19639732976354315,0.0371156066222485,1.0743404650794608,1.2169854530798536,,,,descriptive_only
reach,native,fixed_rank4,actual_endpoint_mse_proprio,28,0.05893747056169169,0.025569345641415393,0.004832152125274175,0.04984139081123949,0.06840259447926654,,,,descriptive_only
reach,native,fixed_rank4,actual_endpoint_mse_weighted,28,1.153570730106107,0.1985103316797759,0.0375149264501167,1.079553991780184,1.2237371126136607,,,,descriptive_only
reach,native,fixed_rank4,predicted_goal_cost_visual,28,1.6627901920250483,0.3392479622331841,0.06411183863245982,1.5421396371509344,1.7891759386020043,,,,descriptive_only
reach,native,fixed_rank4,predicted_goal_cost_proprio,28,0.030815559406099573,0.018452986629768502,0.0034872866834833836,0.024559437042002433,0.037784406943579325,,,,descriptive_only
reach,native,fixed_rank4,predicted_goal_cost_weighted,28,1.6658717479656582,0.34058510524815566,0.06436453490995567,1.5447738124373633,1.7928194665011583,,,,descriptive_only
reach,native,fixed_rank4,actual_goal_cost_visual,28,2.200177435364042,0.29922010912798397,0.05654728543016096,2.089811795737062,2.306703604544912,,,,descriptive_only
reach,native,fixed_rank4,actual_goal_cost_proprio,28,0.15317481463508947,0.04303101434859395,0.008132097330659404,0.13761320377566985,0.16900776846866516,,,,descriptive_only
reach,native,fixed_rank4,actual_goal_cost_weighted,28,2.2154949168275513,0.3028236921626246,0.05722829861147743,2.1036685441913345,2.323696368014706,,,,descriptive_only
reach,native,fixed_rank4,predicted_minus_actual_goal_cost_visual,28,-0.5373872433389936,0.14436100853478603,0.027281666256965476,-0.5879995868674346,-0.4841035820543766,,,,descriptive_only
reach,native,fixed_rank4,predicted_minus_actual_goal_cost_proprio,28,-0.1223592552289899,0.03734590612349674,0.007057712863509758,-0.1362848952953105,-0.10906370602232138,,,,descriptive_only
reach,native,fixed_rank4,predicted_minus_actual_goal_cost_weighted,28,-0.5496231688618926,0.1448982825178358,0.02738320149589796,-0.6005059041245008,-0.4960481016283822,,,,descriptive_only
reach,native,matched_random_fixed_rank4,actual_endpoint_mse_visual,28,1.1575630073036467,0.21643495141174593,0.04090236117555912,1.0764069492795638,1.2329418694866554,,,,descriptive_only
reach,native,matched_random_fixed_rank4,actual_endpoint_mse_proprio,28,0.05995619795950396,0.02687530839230043,0.005078955886728146,0.05047408045169764,0.06994279071721914,,,,descriptive_only
