task,plan_arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
reach-wall,fixed_rank4,actual_goal_cost_proprio,28,0.17345771193504333,0.030431363151852745,0.005750987068321219,0.16263616187497973,0.1848370356086109,,,,descriptive_only
reach-wall,fixed_rank4,actual_goal_cost_weighted,28,2.3099440102066313,0.17080637108142857,0.03227937001620533,2.2488917214968906,2.3737910010213294,,,,descriptive_only
reach-wall,fixed_rank4,actual_weighted_goal_progress,28,0.4918935268052987,0.07803152113101186,0.014746571381195638,0.46350100741056466,0.5199173739166664,,,,descriptive_only
reach-wall,fixed_rank4,prefix_success,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,terminal_ee_distance,28,0.1925771856561373,0.01948297394712065,0.00368193599028798,0.18561660632397103,0.19992203057153024,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,initial_ee_distance,28,0.2855864094103647,0.014666506417901104,0.0027717091845642196,0.2801656385696282,0.29093652113616864,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,physical_ee_progress,28,0.09300922375422747,0.00964139179389089,0.001822051784226729,0.08931224534261785,0.09636817975552665,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,actual_goal_cost_visual,28,2.288676926067897,0.17198937269472855,0.03250293630687533,2.228096776349204,2.3534744745918683,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,actual_goal_cost_proprio,28,0.17248512192496232,0.028321645432046478,0.005352287895238817,0.16247961978827202,0.18326533432118586,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,actual_goal_cost_weighted,28,2.305925438260393,0.17392009354803037,0.0328678082517984,2.244630876909276,2.371365702886666,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,actual_weighted_goal_progress,28,0.4959120987515365,0.07737760086798147,0.01462299206739247,0.46793953200602634,0.5235974157189152,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,prefix_success,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach-wall,native,terminal_ee_distance,28,0.19247509146686512,0.019014190474136623,0.0035933442411270585,0.1857240960214208,0.19971718175785247,,,,descriptive_only
reach-wall,native,initial_ee_distance,28,0.2855864094103647,0.014666506417901104,0.0027717091845642196,0.2801656385696282,0.29093652113616864,,,,descriptive_only
reach-wall,native,physical_ee_progress,28,0.09311131794349968,0.009645088916365036,0.0018227504747005245,0.08943156036822074,0.09647011945999287,,,,descriptive_only
reach-wall,native,actual_goal_cost_visual,28,2.2914151549339294,0.1736690974095373,0.03282037444019195,2.230134083756379,2.3565111771225933,,,,descriptive_only
reach-wall,native,actual_goal_cost_proprio,28,0.17302558783973968,0.02963450041981657,0.005600394167033847,0.16255866631067223,0.18423438105466108,,,,descriptive_only
reach-wall,native,actual_goal_cost_weighted,28,2.308717713717903,0.17563577846949055,0.03319204222539319,2.2466270908473858,2.374375096168369,,,,descriptive_only
reach-wall,native,actual_weighted_goal_progress,28,0.49311982329402654,0.08585226574154257,0.016224553188825135,0.4617671962694398,0.5239173642878554,,,,descriptive_only
reach-wall,native,prefix_success,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
