task,episode,plan_arm,terminal_ee_distance,initial_ee_distance,physical_ee_progress,actual_goal_cost_visual,actual_goal_cost_proprio,actual_goal_cost_weighted,actual_weighted_goal_progress,prefix_success,selected_prefix_sha256,executed_actions_sha256,endpoint_observation_sha256,endpoint_physics_sha256
reach,15,fixed_rank4,0.16301110664290264,0.2563423522493363,0.09333124560643369,2.235802412033081,0.14461036026477814,2.2502634480595587,0.6703039571642879,False,d27fa673e1c737f934ddf3c3df01ad2dbe549f0edbf8636d4ca29270d41bf3f1,b5e8729d59fa4837fa5ddda0c404e258af311cd47c19ad21aa70ad0c907bae86,26a6e3abc517ffbc8ccdd4186b51580192bde085c6039a4d3c1a6b7050f5f3be,78a26f08b22b2937f976dddbfc89e4680e72accb48aeb17e33e010c79941fa8f
reach,15,matched_random_fixed_rank4,0.15786891787932408,0.2563423522493363,0.09847343437001224,2.180790901184082,0.13431380689144135,2.194222281873226,0.7263451233506206,False,f1d4650d93d73d687a63c1a4d5abc03a5ff8f10ea8c165ad878148b3bfda18a2,19a0dc257d0659edc7816b76cca65673eeccba053c08ff84e92a1b1947ca33ee,f70da5a1e46aa34dfe1d0dea4ec16912a9f3812a10062eb9db01c64be59e591e,d365847b51fa9a1d3a03cd5e1850e84a472ef196c5adebdedc67675817c7e94d
reach,16,native,0.1620743760337473,0.24932645749418067,0.08725208146043337,2.259939670562744,0.1424024999141693,2.274179920554161,0.4553565472364425,False,718eb104e663adabf472ffb08ad1322b389fe14efbbcc65123b96c291bee54ea,fcb4eed4f8aafd47a25da4891fdf5df62bc34f624a519ada18e7d6c17db74e41,bf5a4a0ae4fe7dd26b4bc4cb062aae2cfbb1697db041a3ec650485d7e3eb9201,8d010343a96285d033e5b4afd810e0f1634da4fbabdef729480a53eb2d2ec44d
reach,16,fixed_rank4,0.16207437592384938,0.24932645749418067,0.08725208157033129,2.259939670562744,0.1424024999141693,2.274179920554161,0.4553565472364425,False,6e0159e4dbe42c455700c7d7ec3946b0c0642309147d692e3146c1d5f7573c26,05f37f72c354b6ca1714195fe13851f927a5f5ff59377022a466bac588f8f73e,951a61fa00412dff5176f06bd10123dc85e771ab89f4cbe97ac940aaf03b511e,3dd418aea6d4c871d5946031f97ad1fed395405ad723150612d5a75960537e9d
reach,16,matched_random_fixed_rank4,0.16511498259141327,0.24932645749418067,0.0842114749027674,2.2016103267669678,0.14567884802818298,2.216178211569786,0.5133582562208177,False,4232d6911a952b2d6f0ed3a972755a5b3fa1e64bd5bf0a2593d34476f23e193a,604b1f7627f209b7e720bdb0df6e6ed5543247ea8ec1a827c6e4c12f948b1be9,619c3b326cc65cf1fa250f7dc45116ef9a710ffa8e19e595f99107b535409e59,aa16dad06ff7eeae47d1272cbcf16f79464c522b7f00213dc800cfcc810cbb11
reach,17,native,0.185355689449553,0.2889677470601077,0.1036120576105547,2.737377166748047,0.18328893184661865,2.7557060599327086,0.4177369326353073,False,6be98a8889906b783f3245a51ca5921778b0e36ffff7c19407d22b9adfbc80de,edf4c1724c97b5c24a93eb4429cb0a76c23a0bde6f790c979d1e4f1b4a11d983,3a1c7876ca66b9420578cccb9f4a2e33e41ed36335832d3b24577e9911b92dde,e01ed3146dd29cadb12f0569e9ad54cf77c30e3b40b6736f17f604f31ad9ccb3
reach,17,fixed_rank4,0.18492830269094765,0.2889677470601077,0.10403944436916004,2.702134847640991,0.18551570177078247,2.7206864178180696,0.45275657474994624,False,1d07aac697f487d0ae15fa6287c9074eb39eac0d6a544634545f31f32a85f98c,5edc0acb1eb9382636053a55b702447257f3d66bb5bff237fa0996d69e135f17,eb0ccb2d64707b951f26ac7bce8d6cdc432857b98a23ccf880655dfa8fd4fcfd,dddca362f0e915ace06c3c86a289f3d42b02fb2bc648a4e241d38e6fb598d0ce
reach,17,matched_random_fixed_rank4,0.18575570462476695,0.2889677470601077,0.10321204243534074,2.7269153594970703,0.1769363135099411,2.7446089908480644,0.42883400171995145,False,76de58c365044ff97c56409698107d60d1546b811a38d5d1fbda472e4cc3ac3a,89d5ba351503cd7a9689543f0bef13e9dc556282f9c6c82717fa1a47fcb74e9b,d292607a44cea10c69d84985b9d462e2e5cf1ff12d855dd98e047401513178c1,28c20fe55bbc12885b7d64c06d68b064b1abacca2df99b5891910186d3aff79e
reach,18,native,0.17031743507257033,0.29046670224463184,0.12014926717206151,2.2350845336914062,0.13388007879257202,2.2484725415706635,0.5582680672407152,False,9f1e3f28a9f2a09f74d83f37560cc797a32cc7873df818104e5a14a8f9cd2796,31e708c30c05fe2a0b317f4b954deb8f95dc4c456989e64359d569daf8e35cbc,fd59772e0e2d37015ff387d26eff3c52fb08b23e563814a3724c027b80ed99f8,3d2a3662a8bd97d4773945c2a1be9407ce023e9558d6104de4598e3ccd7f5a96
reach,18,fixed_rank4,0.1701115147578277,0.29046670224463184,0.12035518748680413,2.2798233032226562,0.14073863625526428,2.2938971668481827,0.512843441963196,False,718c95bb052fc33884af9277d48a83828fc4764b37fd8cafe78358e8d38164e1,f5f138c418019a02050d9c918771d66727d355e2a5d3a561c46c7451b988b09d,34c292bcbff0457262e001992bf2505e1118064381063ad013151fef96f1e05a,8a20eaf78b82aa1f3865df0a7e858c07da3f9ff237a6b77f49d442938186678a
reach,18,matched_random_fixed_rank4,0.17130505195613543,0.29046670224463184,0.1191616502884964,2.2537457942962646,0.14122138917446136,2.2678679332137106,0.538872675597668,False,45133f38c2eeabd7de3154ad744da22245fa23b1b3267c31464f0cda472e1f97,01aaf3b0249a98217ab64fb8d8171e47db909d2525365cdeb91b65ccadb8a522,914fcbf46400433c09e87be7ebdb345e85130be371f6d12a6aecab317ca6be93,4ecc730bff8ca4c6232af243465674f6e7c8870801609a9675a0ebe9b9b3cb35
reach,19,native,0.19438737213421078,0.30890078008363653,0.11451340794942574,2.477813243865967,0.16780546307563782,2.4945937901735307,0.4038061320781705,False,41860bb3cb850c171bafa574861f39f45bda653274b89844daf197df68cc074d,b44a54421f8d4834cf7d7e1baba596a0c053cb071d6179237b12fc92273476fa,7d47d26893ffa929057d3f7258b45278ce983c243bffd0e6c67627c90f84610c,8c30cdb1cebaeed75ba2a92d6c3ec38b09002c8fc61b3ffeeb5bc264eb7a16fd
reach,19,fixed_rank4,0.1929270696873449,0.30890078008363653,0.11597371039629162,2.5160017013549805,0.17915567755699158,2.5339172691106797,0.36448265314102146,False,0a5f59641513368e110714d2ed00df7ff70e372dde8ecebf10d6ae4c48401ac3,e145b81d539406df759a395a9148e700d063a892f631e48011580a4863566b60,d8e63fa5a345e7cac8dfa832f1c2d9583df88a1f2f333a3da06ed18ccef30afc,bdb21ebf8dac44b63cff2d4f366068067b00cf688d8bb61dc22b3da6f46ea8cb
reach,19,matched_random_fixed_rank4,0.19311922306380355,0.30890078008363653,0.11578155701983298,2.526211738586426,0.17927145957946777,2.5441388845443726,0.35426103770732853,False,091fb5f00313fdf338090a58b2aa1e65fcf477b393f823e991710ccb01ddff62,65cc98a0ed5b12b508afe069223c52c297f1c6d5fe00b6a23620930d023160ff,0fdf909df67330d9ced5d45d5b0668b68e6bca3715c6f29e47d0258638315c03,a193a49a1db54f0e4f03aa495ea093ddc44d90dbd5900f39f02eff4cf95e3c0b
reach,20,native,0.19940724091822443,0.2825870479428637,0.08317980702463929,2.617788314819336,0.21453246474266052,2.639241561293602,0.3741505473852156,False,fb7f27f6fd5ae0779ccfe8a76907fd14f7e96a9fde230da17d050f6ba3247e8b,e6e351206c9719f52d512f3597b34c72a9972b49b37d6f69b89f5f757681d6e5,711cee8c2b50c1c52f4b3f74873836c1332b1da41f38987090be005a45374b7a,56ede00fa9eef6fef09d4e6875b09ceaaad3e6cd9b4ff8aca635a04ffb37c987
reach,20,fixed_rank4,0.21343805977161903,0.2825870479428637,0.06914898817124468,2.593747615814209,0.24787300825119019,2.618534916639328,0.39485719203948966,False,c2efaf8bb28b02fdef68fedbce2e329605e6a0820f2a05cd6d83e447f80c197a,95ec19752626b15386d1a6e2a6b56812787e22bb5d78e902abf9e16e15b60c61,d1c3b5d864566786de6fc6aab70f5fca559a50c372bf8abfef7380f6db3f2925,324ba0adce7f4aa73323f323ce33d4a20655ce56b0696781b5aaec6a87a4f612
reach,20,matched_random_fixed_rank4,0.21343805979156025,0.2825870479428637,0.06914898815130346,2.593747854232788,0.24787300825119019,2.618535155057907,0.39485695362091056,False,0fd891d475741ea9387b1aaccb3640bbf3c010df29dcac7ad96979887c4b4edd,9f8057c97c6853472e752815eeb0e2088a75d5d20d3f32d9a59663340fe26c35,476e1124f61d149d8b85d578e0b3f112e3f364e3b39e729e5d96a25cccd0faa9,aa64f08b9436cc698b24fe3d5e157d2fb16cd2ed10ab6f4075171a694ee7696d
reach,21,native,0.17293955394079302,0.28190927193290427,0.10896971799211125,2.372405767440796,0.165226548910141,2.38892842233181,0.4597883611917495,False,6ab3c897e795cae74e6f26c0a6e8c767abe5b74b77bd32a4d1f15e4ba3e99ab2,d2feeff671c4fedf9f84c10531c12f431a2355886a372c0b287817413f3a4764,2149dc718428e729d794f9ddf7e371fbb738e4b35aa1e06ba9e18d9a1992bfb5,56b262e22d6c20946e5e970c15f5f1e84293980d885e33e1a214621307bbabf4
reach,21,fixed_rank4,0.17350299069215616,0.28190927193290427,0.10840628124074811,2.3969850540161133,0.16764509677886963,2.413749563694,0.4349672198295593,False,d55397626a0748f2a18dc9742ac54a8ca7a0d28358fe03ffd70115a3dff04f91,82edc4bfdc3405ab3bac11d96e8ed30462140e56c62c137c1f6bc3003e4cd5e4,928c6752cfbb59106a724b6ef31aafb3527410fc20b7d07015deafcc46dd9174,d18e5b2f05c045212cba634ddb7c8774fb82122d91cbc576512f699bd9b3ec3d
reach,21,matched_random_fixed_rank4,0.17293955394079302,0.28190927193290427,0.10896971799211125,2.372405767440796,0.165226548910141,2.38892842233181,0.4597883611917495,False,5c182d39d15c5e7ec75fee24b21b976c1b134b248bc77fba5b46dc64569acca0,759a30bf43c06d98260507a5821930101ff90cac3dec50fa99af5127ffe840c2,2149dc718428e729d794f9ddf7e371fbb738e4b35aa1e06ba9e18d9a1992bfb5,6dbc5ae01c504dcf3c5f8234f69c322f8f6135e6b8b43128028f9daff492408d
