task,episode,bank,site,comparison,spearman,elite_overlap,winner_agreement,winner_mismatch,left_winner,right_winner,left_minimum_ties,right_minimum_ties,minimum_sets_disjoint,left_cutoff_ties,right_cutoff_ties,left_cutoff_ambiguous,right_cutoff_ambiguous
reach,4,original,B5,persistent_vs_h3,0.99999333325925843,10,1,0,19,19,1,1,0,1,1,False,False
reach,4,fresh,reference,native_vs_counterfactual,0.78313003477816423,5,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,all_blocks,h3_vs_counterfactual,0.91113101256680629,7,0,1,68,289,1,1,1,1,1,False,False
reach,4,fresh,all_blocks,persistent_vs_counterfactual,1,10,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,all_blocks,persistent_vs_h3,0.91113101256680629,7,0,1,289,68,1,1,1,1,1,False,False
reach,4,fresh,B0,h3_vs_counterfactual,0.79924754719496882,5,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B0,persistent_vs_counterfactual,0.81988688763208484,5,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B0,persistent_vs_h3,0.99761108456760628,10,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B1,h3_vs_counterfactual,0.8349630551450572,6,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B1,persistent_vs_counterfactual,0.94441493794375497,9,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B1,persistent_vs_h3,0.95387504305603399,7,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B2,h3_vs_counterfactual,0.80801964466271847,5,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B2,persistent_vs_counterfactual,0.82558561761797356,6,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B2,persistent_vs_h3,0.99898487760975119,9,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B3,h3_vs_counterfactual,0.78305092278803101,5,0,1,68,289,1,1,1,1,1,False,False
reach,4,fresh,B3,persistent_vs_counterfactual,0.7892678807542306,5,0,1,68,289,1,1,1,1,1,False,False
reach,4,fresh,B3,persistent_vs_h3,0.99970488560984005,10,1,0,68,68,1,1,0,1,1,False,False
reach,4,fresh,B4,h3_vs_counterfactual,0.83391948799431104,5,0,1,68,289,1,1,1,1,1,False,False
reach,4,fresh,B4,persistent_vs_counterfactual,0.83614617940199332,5,0,1,68,289,1,1,1,1,1,False,False
reach,4,fresh,B4,persistent_vs_h3,0.99992222135801512,10,1,0,68,68,1,1,0,1,1,False,False
reach,4,fresh,B5,h3_vs_counterfactual,0.78571984133157036,5,1,0,289,289,1,1,0,1,1,False,False
