task,condition,layer,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,both_positive_count,both_zero_count,linear_zero_count,cubic_zero_count
reach-wall,float32,2,linear_center_mse,32,32,7.4737046125721607e-09,7.143765713729284e-09,7.802398525003912e-09,32,0,0,0
reach-wall,float32,2,cubic_center_mse,32,32,7.6675659392330455e-12,7.6040665122800858e-12,7.7304120380160116e-12,32,0,0,0
reach-wall,float32,2,log_ratio,32,32,-6.8740339760226554,-6.9171781154688423,-6.8274856525617604,32,0,0,0
reach-wall,float32,2,donor_response_rms_mean,32,32,0.010688206949830935,0.010636488456945902,0.010738265802637757,32,0,0,0
reach-wall,float32,2,exact_unchanged_fraction_mean,32,32,2.51007080078125e-05,2.1820068359374999e-05,2.8381347656250005e-05,32,0,0,0
reach-wall,float32,3,linear_center_mse,32,32,1.3907559754365852e-08,1.3492966149760242e-08,1.432539122880899e-08,32,0,0,0
reach-wall,float32,3,cubic_center_mse,32,32,1.6653777193697199e-11,1.6528742680444279e-11,1.6785744326709022e-11,32,0,0,0
reach-wall,float32,3,log_ratio,32,32,-6.7239589690701109,-6.7556125295019571,-6.691952791274149,32,0,0,0
reach-wall,float32,3,donor_response_rms_mean,32,32,0.015520305449761261,0.015351761498753894,0.015690829907336713,32,0,0,0
reach-wall,float32,3,exact_unchanged_fraction_mean,32,32,2.3117065429687502e-05,2.0675659179687503e-05,2.5405883789062504e-05,32,0,0,0
reach-wall,float32,4,linear_center_mse,32,32,8.2594476593953622e-08,7.7853671711429631e-08,8.7544210446654145e-08,32,0,0,0
reach-wall,float32,4,cubic_center_mse,32,32,5.7976647817877157e-11,5.74523361681794e-11,5.8572697239336604e-11,32,0,0,0
reach-wall,float32,4,log_ratio,32,32,-7.2482122917481622,-7.3067601322917302,-7.1905036434922023,32,0,0,0
reach-wall,float32,4,donor_response_rms_mean,32,32,0.02942220501713437,0.028884239074304891,0.029963202847744556,32,0,0,0
reach-wall,float32,4,exact_unchanged_fraction_mean,32,32,1.922607421875e-05,1.6937255859374998e-05,2.1591186523437501e-05,32,0,0,0
reach-wall,float32,5,linear_center_mse,32,32,8.882930311083019e-07,7.8050431823739536e-07,1.0069668194580348e-06,32,0,0,0
reach-wall,float32,5,cubic_center_mse,32,32,3.1272020957707552e-10,3.0857446713085747e-10,3.1697636318149384e-10,32,0,0,0
reach-wall,float32,5,log_ratio,32,32,-7.8881356508777802,-8.007807218275742,-7.767148445676054,32,0,0,0
reach-wall,float32,5,donor_response_rms_mean,32,32,0.072833545920819268,0.070843846731143453,0.074865583426356255,32,0,0,0
reach-wall,float32,5,exact_unchanged_fraction_mean,32,32,1.7547607421874999e-05,1.556396484375e-05,1.953125e-05,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,0,linear_center_mse,32,32,3.7908219237604887e-05,3.6165023817468068e-05,3.9647969203594187e-05,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,0,cubic_center_mse,32,32,3.4406945583503475e-05,3.2738353553101913e-05,3.606807599319498e-05,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,0,log_ratio,32,32,-0.097826728169912391,-0.10521146603659508,-0.090727184393116958,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,0,donor_response_rms_mean,32,32,0.0097604262473457402,0.0095637967649925878,0.0099540278233862089,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,0,exact_unchanged_fraction_mean,32,32,0.71903335571289073,0.71858832931518557,0.71945922851562494,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,1,linear_center_mse,32,32,6.6385384311478768e-05,6.3772235675104417e-05,6.9015975489133849e-05,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,1,cubic_center_mse,32,32,6.1775034976025911e-05,5.9177655256658862e-05,6.4371100301479413e-05,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,1,log_ratio,32,32,-0.07282520406405063,-0.07966432480497064,-0.066552856520104953,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,1,donor_response_rms_mean,32,32,0.013207871945925688,0.013000452954585445,0.013416030007129025,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,1,exact_unchanged_fraction_mean,32,32,0.65623519897460936,0.65589728355407706,0.65657661819458013,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,2,linear_center_mse,32,32,0.00014986825808492056,0.00014552363205726048,0.00015423174121312821,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,2,cubic_center_mse,32,32,0.00014296539486377674,0.00013864251550873999,0.00014727198712853783,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,2,log_ratio,32,32,-0.047441409038904092,-0.05225346103024707,-0.042569383490254221,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,2,donor_response_rms_mean,32,32,0.020289387173777353,0.020057270529201868,0.020527656775267293,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,2,exact_unchanged_fraction_mean,32,32,0.59694473266601566,0.59623054504394535,0.59763881492614734,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,3,linear_center_mse,32,32,0.00017151284584292629,0.00016645913325975408,0.00017692203336654619,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,3,cubic_center_mse,32,32,0.00017192981347727027,0.00016672833235685723,0.00017746555173641304,32,0,0,0
