source_id,task,precision,lineage_group,arm,omitted_activation_mse,endpoint_line_valid,common_energy_edit_eligible,recorded_proprio_mse_h1,recorded_proprio_mse_h2,recorded_proprio_mse_h3,recorded_proprio_mse_h4,recorded_proprio_mse_h5,recorded_proprio_mse_h6,raw_native_proprio_fidelity_mse_h3,delivered_native_proprio_fidelity_mse_h3,raw_native_proprio_fidelity_mse_h6,delivered_native_proprio_fidelity_mse_h6,recorded_visual_mse_h1,recorded_visual_mse_h2,recorded_visual_mse_h3,recorded_visual_mse_h4,recorded_visual_mse_h5,recorded_visual_mse_h6,raw_native_visual_fidelity_mse_h3,delivered_native_visual_fidelity_mse_h3,raw_native_visual_fidelity_mse_h6,delivered_native_visual_fidelity_mse_h6
S18,reach-wall,float32,metaworld:state-action:78e6c7bccba6b81421d017d69de0ddab442c20eb727ba5b2f178b4d23f7be023,reflected_curvature,4.396862627690604e-09,1.0,1.0,0.00025453772256393375,0.0003462322578343446,0.0004311945752609366,0.0005052261803939473,0.0006092890105113232,0.0007615839131176472,1.326785755643555e-12,1.4622389410864245e-13,3.7256994313809725e-13,5.600992788103237e-14,0.1283092139288783,0.15098006644596657,0.16663424683113892,0.17801232039928436,0.18910275821884473,0.20221661825974782,7.588838923586195e-11,7.621388835426143e-12,2.1049195582436657e-11,3.0670219357192715e-12
S18,reach-wall,float32,metaworld:state-action:92ce97ddcd8e9a327210b5ff6eced28b446aaeadf3048d4b40eee6fa8e68ba6d,equal_anchor_linear,4.2069784091565885e-10,1.0,1.0,0.00029099529747327323,0.00035734324101213135,0.0004037823038136897,0.0004477152626350289,0.0005009547609612733,0.0005365973185689655,1.9517680905892869e-13,1.889815561549464e-13,6.381633796526872e-14,6.260348272539906e-14,0.12797259607662756,0.14299412878851095,0.15662978726128737,0.16941038531561692,0.17907051282624403,0.18927176768581072,8.19940859638745e-12,7.806220340272896e-12,3.716231364520387e-12,3.612189777253578e-12
S18,reach-wall,float32,metaworld:state-action:92ce97ddcd8e9a327210b5ff6eced28b446aaeadf3048d4b40eee6fa8e68ba6d,cubic,2.8475762575465766e-11,1.0,1.0,0.00029099529747327323,0.00035734324101213135,0.0004037834920988341,0.0004477147111174418,0.000500952825556548,0.000536595206237204,2.5898702591236963e-14,9.479102437809599e-14,2.6366849484964827e-14,3.925169262891012e-14,0.12797259607662756,0.14299412878851095,0.15662977087001007,0.16941031167904536,0.17907036195198694,0.1892715495079756,8.354926559622777e-13,4.37632653459546e-12,1.0442331018614115e-12,1.7194519273027244e-12
S18,reach-wall,float32,metaworld:state-action:92ce97ddcd8e9a327210b5ff6eced28b446aaeadf3048d4b40eee6fa8e68ba6d,projected_cubic,1.0360936118318045e-09,1.0,1.0,0.00029099529747327323,0.00035734324101213135,0.00040378144852487217,0.00044771484729911514,0.0005009543615112004,0.0005365970594236084,5.404724758921511e-13,2.2924185754331597e-13,1.2471066264544932e-13,6.571807581201233e-14,0.12797259607662756,0.14299412878851095,0.1566297414402167,0.16941033688684304,0.17907045682271322,0.18927171727021536,1.8251016670189914e-11,7.509031171743878e-12,6.482129700262467e-12,3.21409766838836e-12
S18,reach-wall,float32,metaworld:state-action:92ce97ddcd8e9a327210b5ff6eced28b446aaeadf3048d4b40eee6fa8e68ba6d,reflected_curvature,4.1210886666161645e-09,1.0,1.0,0.00029099529747327323,0.00035734324101213135,0.00040378141372154154,0.0004477148317770722,0.000500954408319861,0.0005365970794324918,2.0511344702428315e-12,2.3098454821119465e-13,4.091967275185055e-13,6.684117032106952e-14,0.12797259607662756,0.14299412878851095,0.1566297414402167,0.16941033477584522,0.17907045694688956,0.1892717219889164,7.044719009530188e-11,7.5171962657788e-12,2.231723458378382e-11,3.2399345368403522e-12
S18,reach-wall,float32,metaworld:state-action:9747aa46ffc81e32ebb9ee22ac6fbd6f96e7a6f130deee35e5cb84ee86e16580,equal_anchor_linear,4.172359742427023e-10,1.0,1.0,0.00017105141535769992,0.0002150667078240076,0.00023971199716470436,0.0002833328915585298,0.0003318067688572531,0.00040287141140045907,1.3657108732938127e-13,1.3550020881574947e-13,5.041535961478205e-14,4.8921491383195796e-14,0.11701679124186436,0.1286455430711309,0.13599483780562877,0.14453408581515154,0.1514896284788847,0.1580929972231388,7.598734568364333e-12,7.186266787080157e-12,2.9451705162482586e-12,2.9874138599454586e-12
S18,reach-wall,float32,metaworld:state-action:9747aa46ffc81e32ebb9ee22ac6fbd6f96e7a6f130deee35e5cb84ee86e16580,cubic,2.6558365099141334e-11,1.0,1.0,0.00017105141535769992,0.0002150667078240076,0.0002397118882072391,0.0002833321845779816,0.00033180506785962884,0.0004028693137418789,1.984588167252591e-14,7.061725294080808e-14,2.1226468585955142e-14,2.999038117444136e-14,0.11701679124186436,0.1286455430711309,0.13599486549695333,0.14453403918693464,0.1514895347878337,0.15809285392363867,7.761798654614312e-13,4.200211350238158e-12,9.54010561232214e-13,1.648195674089995e-12
S18,reach-wall,float32,metaworld:state-action:9747aa46ffc81e32ebb9ee22ac6fbd6f96e7a6f130deee35e5cb84ee86e16580,projected_cubic,1.0241206780762605e-09,1.0,1.0,0.00017105141535769992,0.0002150667078240076,0.00023971167041357452,0.00028333269898818495,0.00033180656646436546,0.00040287114631307,3.6334822592816914e-13,1.653017231717072e-13,1.0087423509547839e-13,5.4025868426804437e-14,0.11701679124186436,0.1286455430711309,0.13599480390548707,0.14453405290842056,0.15148956974347433,0.15809292308986186,1.6576457770080728e-11,6.848933236953264e-12,5.381416427925611e-12,2.7486996267414228e-12
S18,reach-wall,float32,metaworld:state-action:9747aa46ffc81e32ebb9ee22ac6fbd6f96e7a6f130deee35e5cb84ee86e16580,reflected_curvature,4.077627929754968e-09,1.0,1.0,0.00017105141535769992,0.0002150667078240076,0.00023971166410774458,0.0002833326968053977,0.00033180652814432203,0.0004028710376587696,1.3573835921006546e-12,1.6554679476258537e-13,3.232026301650332e-13,5.3826011793463866e-14,0.11701679124186436,0.1286455430711309,0.13599480160822472,0.14453404216716687,0.15148956775665284,0.15809292159974575,6.371759430842672e-11,6.84393913431026e-12,1.8637618474000768e-11,2.7693094381611254e-12
S18,reach-wall,float32,metaworld:state-action:992a03bca86abd79dec2cb33e119f8c6223914cfd427e3ff0a13fe03bd43aad4,equal_anchor_linear,3.8304882761056963e-10,1.0,1.0,0.00019738166853737008,0.00025371007905050647,0.0003601699740102049,0.00046391874978629253,0.0005700062438942648,0.0006974584769826228,1.1048973885432125e-13,1.1514514492662607e-13,4.0101988587069916e-14,4.210040724028124e-14,0.11029091731955608,0.1213505789016684,0.1345694792146484,0.14456970517834028,0.15630282914886873,0.1673104846229156,7.662111956915676e-12,7.965789320119506e-12,2.6260294954909048e-12,2.7764368233232245e-12
