task,precision,arm,endpoint,horizon,n,native_mean,learned_mean,random_mean,reduction_vs_native_percent,advantage_vs_random_percent,source_sha256
reach,bfloat16,all_six_blocks,proprio_mse,5,33,0.0006846950574485659,0.0006646588773873365,0.0006823338889234672,2.926292492294566,2.5814428399694402,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,proprio_mse,6,33,0.0008585703183038129,0.0008325878099291151,0.0008553134588712256,3.0262528089753604,2.6469176091490385,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,proprio_mse,6,33,0.0008585703183038129,0.0008339156328282004,0.0008559145837591701,2.871597695611022,2.5622771323414355,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,proprio_mse,6,33,0.0008585703183038129,0.0008391391064952871,0.0008563581688999553,2.263205633163977,2.005550627313333,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,proprio_mse,6,33,0.0008585703183038129,0.0008422654496274789,0.0008568139461534553,1.899072018765542,1.6945026185762246,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,proprio_mse,6,33,0.0008585703183038129,0.0008485348313427888,0.0008571188399318173,1.1688602257821017,0.9998026260664297,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,proprio_mse,6,33,0.0008585703183038129,0.0008544910123115792,0.0008574852381828193,0.4751277682523091,0.34874556077776714,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,proprio_mse,6,33,0.0008585703183038129,0.0008343088888656407,0.0008548009488834515,2.825794104564782,2.3867654845435164,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,proprio_mse,6,33,0.0008585703183038129,0.0008383668266105815,0.0008558433334885671,2.353155153691463,2.0355358792873295,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,visual_mse,1,33,0.12173197127483558,0.12173197127483558,0.12173197127483558,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,visual_mse,1,33,0.12173197127483558,0.12173197127483558,0.12173197127483558,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,visual_mse,1,33,0.12173197127483558,0.12173197127483558,0.12173197127483558,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,visual_mse,1,33,0.12173197127483558,0.12173197127483558,0.12173197127483558,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,visual_mse,1,33,0.12173197127483558,0.12173197127483558,0.12173197127483558,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
