source_id,task,category,precision,arm,endpoint,lineage_weighted_mean,clip_weighted_mean,error_reduction_percent_vs_native,realized_energy_match_fraction
S01,reach,vision_action_coupling,bfloat16,native,proprio_l1_h2,0.010492816679955769,0.01049281667995577,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_l1_h3,0.012224978763219726,0.012224978763219721,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_l1_h4,0.013837591646653083,0.013837591646653083,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_l1_h5,0.015662683938709888,0.015662683938709888,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_l1_h6,0.01753336426736128,0.017533364267361285,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_mse_h1,0.0002275826288211528,0.00022758262882115275,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_mse_h2,0.0003022944126727948,0.00030229441267279485,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_mse_h3,0.00041403000616470554,0.0004140300061647055,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_mse_h4,0.0005330005390762858,0.0005330005390762858,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_mse_h5,0.000684695057448566,0.0006846950574485659,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,proprio_mse_h6,0.0008585703183038129,0.000858570318303813,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_l1_h1,0.2438088998198509,0.24380889981985093,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_l1_h2,0.26015580035746094,0.260155800357461,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_l1_h3,0.2726267949988444,0.27262679499884446,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_l1_h4,0.28401048689553837,0.2840104868955383,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_l1_h5,0.2950589735738256,0.2950589735738256,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_l1_h6,0.30593502220481333,0.30593502220481333,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_mse_h1,0.12173197127483558,0.1217319712748356,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_mse_h2,0.13744648757644679,0.13744648757644676,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_mse_h3,0.15170718095444066,0.15170718095444066,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_mse_h4,0.16623134848972163,0.16623134848972163,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_mse_h5,0.18170994661485007,0.18170994661485004,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,native,visual_mse_h6,0.19808357862021883,0.19808357862021886,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_l1_h1,0.00915005694289287,0.009150056942892872,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_l1_h2,0.010492816679955769,0.01049281667995577,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_l1_h3,0.012096481956306354,0.012096481956306356,1.0511004509878519,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_l1_h4,0.013750887744368593,0.013750887744368591,0.6265823164789075,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_l1_h5,0.015568773014202826,0.015568773014202827,0.5995838572402268,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_l1_h6,0.017456242291261487,0.017456242291261487,0.4398584032350161,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_mse_h1,0.0002275826288211528,0.00022758262882115275,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_mse_h2,0.0003022944126727948,0.00030229441267279485,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_mse_h3,0.00040546162766104583,0.00040546162766104594,2.0695066483299995,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_mse_h4,0.0005263627940116245,0.0005263627940116243,1.2453542872892465,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_mse_h5,0.0006766075509468198,0.0006766075509468198,1.1811837129193425,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,proprio_mse_h6,0.0008511727155638082,0.000851172715563808,0.8616187378361007,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_l1_h1,0.2438088998198509,0.24380889981985093,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_l1_h2,0.26015580035746094,0.260155800357461,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_l1_h3,0.2728285072051515,0.27282850720515156,-0.07398840099630544,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_l1_h4,0.2840933507101403,0.28409335071014036,-0.029176322151935885,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_l1_h5,0.29505450627343227,0.2950545062734322,0.0015140364447163712,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_l1_h6,0.30591091581366275,0.3059109158136628,0.00787957879971879,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_mse_h1,0.12173197127483558,0.1217319712748356,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_mse_h2,0.13744648757644679,0.13744648757644676,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_mse_h3,0.15194087683063265,0.15194087683063265,-0.1540440437438173,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_mse_h4,0.16634384905072777,0.16634384905072777,-0.06767710304238506,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_mse_h5,0.18170061691504236,0.18170061691504236,0.0051343913646584305,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_joint,visual_mse_h6,0.19803910319401757,0.1980391031940176,0.022452858793775565,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_l1_h1,0.00915005694289287,0.009150056942892872,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_l1_h2,0.010492816679955769,0.01049281667995577,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_l1_h3,0.012223991070464815,0.012223991070464818,0.00807930037378668,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_l1_h4,0.013815850353296473,0.01381585035329647,0.15711761057690676,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_l1_h5,0.01564105369628059,0.01564105369628059,0.13810048465473512,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_l1_h6,0.01751313301090226,0.017513133010902262,0.11538719067557546,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_mse_h1,0.0002275826288211528,0.00022758262882115275,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_mse_h2,0.0003022944126727948,0.00030229441267279485,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_mse_h3,0.00041386899618998404,0.0004138689961899842,0.0388884796570621,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_mse_h4,0.0005313847861837742,0.0005313847861837742,0.30314282520460534,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_mse_h5,0.0006829893334045231,0.0006829893334045232,0.24912171126210136,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,proprio_mse_h6,0.0008568292124464554,0.0008568292124464554,0.20279129387994477,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,visual_l1_h1,0.2438088998198509,0.24380889981985093,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,visual_l1_h2,0.26015580035746094,0.260155800357461,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,permuted_visual,visual_l1_h3,0.27272984181540183,0.27272984181540183,-0.037797758124935577,1.0
