population,task,arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
initial8,reach-wall,matched_random_fixed_rank4,selected_prefix_delta_l2,4,0.868608876984212,1.0650376906725632,0.5325188453362816,8.176566685605037e-07,1.7372169363117553,,,,descriptive_only
initial8,reach-wall,matched_random_fixed_rank4,selected_prefix_delta_rms,4,0.112136923830926,0.13749577463526813,0.06874788731763407,1.0555902200834228e-07,0.22427374210283,,,,descriptive_only
initial8,reach-wall,matched_random_fixed_rank4,final_mean_delta_l2,4,1.3915248204285506,1.7373541737290945,0.8686770868645473,1.1482214986612974e-06,2.7830484926356025,,,,descriptive_only
initial8,reach-wall,matched_random_fixed_rank4,final_mean_delta_rms,4,0.12702825557950712,0.15859801188786238,0.07929900594393119,1.0481780263819674e-07,0.2540564063412116,,,,descriptive_only
pooled64,reach,fixed_rank4,selected_prefix_delta_l2,32,5.213418120543598,3.34196003594585,0.5907806509679372,4.1076596747208765,6.338490850849753,,,,descriptive_only
pooled64,reach,fixed_rank4,selected_prefix_delta_rms,32,0.6730493852560442,0.4314451854303006,0.07626945408201324,0.5302965837360576,0.8182956501809726,,,,descriptive_only
pooled64,reach,fixed_rank4,final_mean_delta_l2,32,7.2943598480538645,4.507559052123608,0.7968313930888524,5.788656294089794,8.80923237956583,,,,descriptive_only
pooled64,reach,fixed_rank4,final_mean_delta_rms,32,0.6658809052231762,0.4114819620224508,0.07274042142050509,0.5284296049862065,0.8041692147655194,,,,descriptive_only
pooled64,reach,matched_random_fixed_rank4,selected_prefix_delta_l2,32,4.216416978596929,3.631657490528539,0.6419924096249124,3.057387843421039,5.46253605041816,,,,descriptive_only
pooled64,reach,matched_random_fixed_rank4,selected_prefix_delta_rms,32,0.5443370912924034,0.46884496599821496,0.08288086369562851,0.3947070733488898,0.7052103717109056,,,,descriptive_only
pooled64,reach,matched_random_fixed_rank4,final_mean_delta_l2,32,6.189672643802973,5.08264478135257,0.8984931478142049,4.527749672461652,7.921726886433109,,,,descriptive_only
pooled64,reach,matched_random_fixed_rank4,final_mean_delta_rms,32,0.5650372217639212,0.46397986642211925,0.08202082747027725,0.4133251050573124,0.7231514183490962,,,,descriptive_only
pooled64,reach-wall,fixed_rank4,selected_prefix_delta_l2,32,3.6265205653807566,3.019623534781836,0.5337990695186822,2.6465598553422507,4.654752245617269,,,,descriptive_only
pooled64,reach-wall,fixed_rank4,selected_prefix_delta_rms,32,0.46818179181327924,0.3898317220675342,0.06891316354889572,0.3416694081493882,0.600925930933242,,,,descriptive_only
pooled64,reach-wall,fixed_rank4,final_mean_delta_l2,32,5.249329792719901,4.327591238621189,0.7650172777581333,3.8353916940201307,6.724135039269255,,,,descriptive_only
pooled64,reach-wall,fixed_rank4,final_mean_delta_rms,32,0.4791960565427679,0.39505322350909133,0.06983620331822082,0.3501217579471296,0.613826740119776,,,,descriptive_only
pooled64,reach-wall,matched_random_fixed_rank4,selected_prefix_delta_l2,32,1.5802040306315086,2.759618888669818,0.48783630741722805,0.7277683474174341,2.592781677850227,,,,descriptive_only
pooled64,reach-wall,matched_random_fixed_rank4,selected_prefix_delta_rms,32,0.2040034631415223,0.3562652665899208,0.06297939647674153,0.09395448964815385,0.3347266752888551,,,,descriptive_only
pooled64,reach-wall,matched_random_fixed_rank4,final_mean_delta_l2,32,2.4841316141398897,4.190155179567961,0.7407217854241103,1.1706591253812404,3.977644942274512,,,,descriptive_only
pooled64,reach-wall,matched_random_fixed_rank4,final_mean_delta_rms,32,0.22676915347935614,0.38250708521608034,0.06761833845204775,0.106866068353429,0.36310764343834745,,,,descriptive_only
