source_id,task,precision,lineage_group,modality,horizon,native_mse,visual_only_mse,action_condition_only_mse,joint_mse,joint_equal_standardized_energy_mse,matched_random_equal_standardized_energy_mse,factorial_from_arm_losses,output_interaction_mse,additive_quadratic_cross,factorial_mse_interaction,nonadditive_mse_remainder
S02,reach,float32,metaworld:state-action:a3a1ace4ee74bdf15ad86270cf865d216ca465faf8f4d23060f02ab73f27707f,visual,1,0.13030599864820638,0.13030599864820638,0.13030599864820638,0.13030599864820638,0.13030599864820638,0.13030599864820638,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:c3ce09d0348c32f11fb46169d0680ccd087989fbbfb97b8671c6d56bdf3cbff8,visual,1,0.11145565590510766,0.11145565590510766,0.11145565590510766,0.11145565590510766,0.11145565590510766,0.11145565590510766,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:c4970dbe41df77d9134444b2b75ee8cdcef62126895119603ca03886e74ac0a7,visual,1,0.10492841557910045,0.10492841557910045,0.10492841557910045,0.10492841557910045,0.10492841557910045,0.10492841557910045,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:c6ffed16b7f0bd478fb77daa81dfe6158e39197756c37c3d4e027f0b5753815b,visual,1,0.14431511983275414,0.14431511983275414,0.14431511983275414,0.14431511983275414,0.14431511983275414,0.14431511983275414,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:de98567f0139eaeecf49adcb6631e1eff5167d612b6eb99cecf263f152b6938d,visual,1,0.11634303492804368,0.11634303492804368,0.11634303492804368,0.11634303492804368,0.11634303492804368,0.11634303492804368,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:e0c536921e25c58cf81aa54f6f2fd3536fb79462ed64e477c47ffd8210a12c8d,visual,1,0.13058984049906333,0.13058984049906333,0.13058984049906333,0.13058984049906333,0.13058984049906333,0.13058984049906333,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:e44a28d4659906352f81ade386ec4d10fd45044b7649ffb3b126fd9fa27c1d54,visual,1,0.11318859638025364,0.11318859638025364,0.11318859638025364,0.11318859638025364,0.11318859638025364,0.11318859638025364,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:e505ea81f34184ec84f08a0800f9bce881ba0e71bf0bef077c05ef3522c3040e,visual,1,0.12714198380708694,0.12714198380708694,0.12714198380708694,0.12714198380708694,0.12714198380708694,0.12714198380708694,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:f191d51401bf978af13483756e404ba074b3dab862c64a180ea65584100b3f81,visual,1,0.11450827041019997,0.11450827041019997,0.11450827041019997,0.11450827041019997,0.11450827041019997,0.11450827041019997,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:fcabca7e3fc3de07d27f162916add96d9e9f484d801e7cd4589fc0402f3c0bbc,visual,1,0.12994651173551877,0.12994651173551877,0.12994651173551877,0.12994651173551877,0.12994651173551877,0.12994651173551877,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:0a28f2891539bcff403d70fb59ba370626069f3e2c52a864e046452d8d8536f8,visual,2,0.15177306917806466,0.15177306917806466,0.15177306917806466,0.15177306917806466,0.15177306917806466,0.15177306917806466,0.0,,,,
S02,reach,float32,metaworld:state-action:241672b17fbbd253d8cfea61a1b1dab284a98d6d6e94fec798a7efded33df166,visual,2,0.1308388293410341,0.1308388293410341,0.1308388293410341,0.1308388293410341,0.1308388293410341,0.1308388293410341,0.0,,,,
S02,reach,float32,metaworld:state-action:277b660c7cfae199b6daf6c4b967da1cfd0eb4dd050d75d285460d10c1431b1f,visual,2,0.1323323511208097,0.1323323511208097,0.1323323511208097,0.1323323511208097,0.1323323511208097,0.1323323511208097,0.0,,,,
S02,reach,float32,metaworld:state-action:2bf080885ead7bb5ba1d11af9c37e9e1ab0deb5f99e1127c46bf4a86dc955209,visual,2,0.151569335659345,0.151569335659345,0.151569335659345,0.151569335659345,0.151569335659345,0.151569335659345,0.0,,,,
S02,reach,float32,metaworld:state-action:2e810322b947f4f2e91093de18a9681b2ecef5fb97792b50bcd6bbda100cb7ac,visual,2,0.13945344096670548,0.13945344096670548,0.13945344096670548,0.13945344096670548,0.13945344096670548,0.13945344096670548,0.0,,,,
S02,reach,float32,metaworld:state-action:30c176b5b66ffdd1b3e7ccd00586f03f0441035e30d34fd6928b1517745362c5,visual,2,0.14374682158231736,0.14374682158231736,0.14374682158231736,0.14374682158231736,0.14374682158231736,0.14374682158231736,0.0,,,,
S02,reach,float32,metaworld:state-action:3766d06702b977b2147cadd3b9cb07f71e9ae9a943a1abe56496ec6ad11bca0a,visual,2,0.12063344549387693,0.12063344549387693,0.12063344549387693,0.12063344549387693,0.12063344549387693,0.12063344549387693,0.0,,,,
