task,arm,iteration,metric,n,mean,marginal_95_low,marginal_95_high
reach,fixed_rank4,14,proposal_entropy_delta_nats,4,-2.7652953690038076,-12.597571581140372,5.166624274196826
reach,fixed_rank4,14,proposal_mean_delta_l2,4,4.658953806593286,0.4048245307482558,8.913083082438316
reach,fixed_rank4,14,proposal_mean_delta_rms,4,0.4253023490409506,0.03695525455371058,0.8136494435281907
reach,fixed_rank4,14,proposal_std_delta_l2,4,2.1946433844177147,0.29665771461521323,4.092629054220216
reach,fixed_rank4,14,proposal_std_delta_rms,4,0.20034261455417732,0.02708102035878038,0.3736042087495743
reach,fixed_rank4,14,best_runnerup_margin_delta,4,-0.0021120384335517883,-0.004236035048961639,-0.00044909119606018066
reach,fixed_rank4,14,elite_boundary_margin_delta,4,-0.00020456314086914062,-0.00046706199645996094,-5.945563316345215e-06
reach,matched_random_fixed_rank4,0,proposal_entropy_delta_nats,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,0,proposal_mean_delta_l2,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,0,proposal_mean_delta_rms,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,0,proposal_std_delta_l2,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,0,proposal_std_delta_rms,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,0,best_runnerup_margin_delta,4,-0.000245898962020874,-0.0005929470062255859,-2.2619962692260742e-05
reach,matched_random_fixed_rank4,0,elite_boundary_margin_delta,4,-6.532669067382812e-05,-0.00045543909072875977,0.0002321004867553711
reach,matched_random_fixed_rank4,1,proposal_entropy_delta_nats,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,1,proposal_mean_delta_l2,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,1,proposal_mean_delta_rms,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,1,proposal_std_delta_l2,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,1,proposal_std_delta_rms,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,1,best_runnerup_margin_delta,4,-0.0002798140048980713,-0.0007954537868499756,0.00015342235565185547
reach,matched_random_fixed_rank4,1,elite_boundary_margin_delta,4,-0.00017201900482177734,-0.0007563233375549316,0.0006726086139678955
reach,matched_random_fixed_rank4,2,proposal_entropy_delta_nats,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,2,proposal_mean_delta_l2,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,2,proposal_mean_delta_rms,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,2,proposal_std_delta_l2,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,2,proposal_std_delta_rms,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,2,best_runnerup_margin_delta,4,0.0002943873405456543,2.60770320892334e-05,0.0004749894142150879
reach,matched_random_fixed_rank4,2,elite_boundary_margin_delta,4,0.00046640634536743164,0.00030729174613952637,0.0005951225757598877
reach,matched_random_fixed_rank4,3,proposal_entropy_delta_nats,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,3,proposal_mean_delta_l2,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,3,proposal_mean_delta_rms,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,3,proposal_std_delta_l2,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,3,proposal_std_delta_rms,4,0.0,0.0,0.0
reach,matched_random_fixed_rank4,3,best_runnerup_margin_delta,4,0.00021198391914367676,1.3828277587890625e-05,0.0005053579807281494
reach,matched_random_fixed_rank4,3,elite_boundary_margin_delta,4,0.00042319297790527344,0.00027614831924438477,0.0006587505340576172
reach,matched_random_fixed_rank4,4,proposal_entropy_delta_nats,4,-1.6748822417866904e-07,-5.024646725360071e-07,0.0
reach,matched_random_fixed_rank4,4,proposal_mean_delta_l2,4,2.0632936200469993e-07,0.0,6.189880860140998e-07
reach,matched_random_fixed_rank4,4,proposal_mean_delta_rms,4,1.883520764093725e-08,0.0,5.650562292281175e-08
reach,matched_random_fixed_rank4,4,proposal_std_delta_l2,4,1.454295314546163e-07,0.0,4.362885943638489e-07
reach,matched_random_fixed_rank4,4,proposal_std_delta_rms,4,1.3275839150850074e-08,0.0,3.982751745255022e-08
reach,matched_random_fixed_rank4,4,best_runnerup_margin_delta,4,-5.3495168685913086e-05,-0.0002734065055847168,0.00016641616821289062
reach,matched_random_fixed_rank4,4,elite_boundary_margin_delta,4,4.903972148895264e-05,-0.0002298206090927124,0.00031256675720214844
reach,matched_random_fixed_rank4,5,proposal_entropy_delta_nats,4,0.14361653435843635,-1.1147430498681388e-06,0.43085071781835893
reach,matched_random_fixed_rank4,5,proposal_mean_delta_l2,4,0.38496089927432825,0.0,1.1548819560574404
reach,matched_random_fixed_rank4,5,proposal_mean_delta_rms,4,0.03514196138167062,0.0,0.10542581643139168
reach,matched_random_fixed_rank4,5,proposal_std_delta_l2,4,0.31114927631865347,0.0,0.9334471912454508
reach,matched_random_fixed_rank4,5,proposal_std_delta_rms,4,0.028403912898522413,0.0,0.08521168048082871
reach,matched_random_fixed_rank4,5,best_runnerup_margin_delta,4,-0.00017119944095611572,-0.0009609609842300415,0.0003050863742828369
reach,matched_random_fixed_rank4,5,elite_boundary_margin_delta,4,6.185472011566162e-05,-0.00032761693000793457,0.0004807114601135254
reach,matched_random_fixed_rank4,6,proposal_entropy_delta_nats,4,0.14361663542614522,-9.394354307801223e-07,0.43085084571386645
reach,matched_random_fixed_rank4,6,proposal_mean_delta_l2,4,0.45039166587708845,0.0,1.3511740962572658
reach,matched_random_fixed_rank4,6,proposal_mean_delta_rms,4,0.04111494585220186,0.0,0.12334475527279351
reach,matched_random_fixed_rank4,6,proposal_std_delta_l2,4,0.2981479168291789,0.0,0.8944430375055121
reach,matched_random_fixed_rank4,6,proposal_std_delta_rms,4,0.02721705658675257,0.0,0.08165110467420139
reach,matched_random_fixed_rank4,6,best_runnerup_margin_delta,4,0.00013658404350280762,1.233816146850586e-05,0.00030881166458129883
reach,matched_random_fixed_rank4,6,elite_boundary_margin_delta,4,-0.0002749711275100708,-0.0011796653270721436,0.0004110187292098999
reach,matched_random_fixed_rank4,7,proposal_entropy_delta_nats,4,0.5801619844772397,-7.171304829967085e-07,1.740486670562202
reach,matched_random_fixed_rank4,7,proposal_mean_delta_l2,4,0.5379137971607609,0.0,1.6137404698487143
reach,matched_random_fixed_rank4,7,proposal_mean_delta_rms,4,0.04910458678303452,0.0,0.14731367621585437
reach,matched_random_fixed_rank4,7,proposal_std_delta_l2,4,0.34828650553390705,0.0,1.044858732855178
