task,bank,modality,metric,layer,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_95_low,simultaneous_95_high
reach-wall,original,proprio,excess_spearman_loss,1,8,8,0.006428349203880024,0.005504505605617813,0.007323636929299174,0.0044420493561039415,0.008414649051656106
reach-wall,original,proprio,excess_spearman_loss,2,8,8,0.0015877954199491062,0.0013051256125067578,0.0018695207724530594,-0.00039850442782697615,0.0035740952677251886
reach-wall,original,proprio,excess_spearman_loss,3,8,8,-0.00023828042533804994,-0.0003477316414626917,-0.00013016811297901498,-0.0022245802731141323,0.0017480194224380324
reach-wall,original,proprio,excess_spearman_loss,4,8,8,0.010252558361759562,0.008258480649785016,0.012218413537928172,0.00826625851398348,0.012238858209535644
reach-wall,original,proprio,excess_spearman_loss,5,8,8,-0.00038111534572610184,-0.00044295075500841024,-0.00031817020189119083,-0.002367415193502184,0.0016051845020499805
reach-wall,original,proprio,excess_top10_overlap_loss,0,8,8,0.025000000000000005,-0.025,0.075,-0.037500000000000006,0.08750000000000002
reach-wall,original,proprio,excess_top10_overlap_loss,1,8,8,0.11249999999999999,0.0625,0.1625,0.049999999999999975,0.175
reach-wall,original,proprio,excess_top10_overlap_loss,2,8,8,0.037500000000000006,-0.012500000000000004,0.0875,-0.02500000000000001,0.10000000000000002
reach-wall,original,proprio,excess_top10_overlap_loss,3,8,8,0.0,-0.037500000000000006,0.037500000000000006,-0.06250000000000001,0.06250000000000001
reach-wall,original,proprio,excess_top10_overlap_loss,4,8,8,0.0875,0.037500000000000006,0.1375,0.02499999999999998,0.15000000000000002
reach-wall,original,proprio,excess_top10_overlap_loss,5,8,8,-0.037500000000000006,-0.07500000000000001,-0.0125,-0.10000000000000002,0.02500000000000001
reach-wall,original,official,excess_spearman_loss,0,8,8,0.0009604551161679492,0.0008192813253480466,0.00111217902421136,-0.001007902865587404,0.0029288130979233024
reach-wall,original,official,excess_spearman_loss,1,8,8,0.008181368681874246,0.0072735252613918,0.009173101923354673,0.006213010700118893,0.010149726663629599
reach-wall,original,official,excess_spearman_loss,2,8,8,0.0020382865269358424,0.0017062272818331309,0.002343585762064021,6.992854518048921e-05,0.004006644508691195
