source_id,task,category,precision,candidate,control,endpoint,error_reduction_percent_of_native,simultaneous_95_lower,simultaneous_95_upper,statistical_result,beats_control_by_frozen_minimum,independent_lineages,source,source_sha256
S01,reach,vision_action_coupling,bfloat16,permuted_joint,native,proprio_mse_h6,0.8616187378361257,0.648000191347176,1.0752372843250755,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,matched_random,native,visual_mse_h6,-0.2857248167892478,-0.37281452704493123,-0.19863510653356437,negative,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,matched_random,native,proprio_mse_h6,-2.290871581165699,-2.8239687290661197,-1.7577744332652778,negative,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,matched_random_equal_standardized_energy,native,visual_mse_h6,-0.1953828096727314,-0.26164295939475096,-0.1291226599507118,negative,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,matched_random_equal_standardized_energy,native,proprio_mse_h6,-1.6552127695049295,-2.029657864876073,-1.2807676741337861,negative,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S02,reach,vision_action_coupling,float32,joint,visual_only,visual_mse_h6,0.020989169047743384,-0.009598760351647823,0.0515770984471346,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,visual_only,proprio_mse_h6,0.5684896626011734,0.38999943455221775,0.7469798906501293,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,action_condition_only,visual_mse_h6,0.5863776409598238,0.07084457488094348,1.1019107070387042,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,action_condition_only,proprio_mse_h6,2.329822161477348,1.2754934946922345,3.3841508282624617,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,matched_random,visual_mse_h6,0.8864812694472602,0.35767455364607,1.4152879852484506,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,matched_random,proprio_mse_h6,5.226206447921185,3.7492127105977566,6.703200185244612,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,permuted_joint,visual_mse_h6,0.6063844012798223,0.1151890379102774,1.097579764649367,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,permuted_joint,proprio_mse_h6,2.2235806515721386,1.2307255749471466,3.2164357281971303,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint_equal_standardized_energy,visual_only,visual_mse_h6,-0.13134918681706778,-0.28591717085983964,0.023218797225704097,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint_equal_standardized_energy,visual_only,proprio_mse_h6,-0.2507576744171093,-0.5815372443008481,0.08002189546662962,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
