kind,task,metric,modality,horizon,bfloat16_mean,float32_mean,sign_agreement,pearson,spearman,n,arm
geometry,pusht,recorded_proprio_mse_h6,,,0.00021913374144882382,0.00017907339584997796,1.0,0.8437471508001106,0.8584415584415584,21,equal_anchor_linear
geometry,pusht,recorded_visual_mse_h6,,,0.11145220465304445,0.11405404802351991,1.0,0.9882725074110403,0.9844155844155844,21,equal_anchor_linear
geometry,pusht,omitted_activation_mse,,,0.00742138760639849,0.00015969759941828585,1.0,0.47492881481336646,0.3896103896103896,21,projected_cubic
geometry,pusht,recorded_proprio_mse_h6,,,0.00021918499281491777,0.00017907631250243524,1.0,0.8423072227373638,0.8584415584415584,21,projected_cubic
geometry,pusht,recorded_visual_mse_h6,,,0.11165394149168498,0.11404885953953994,1.0,0.9882797495438179,0.9844155844155844,21,projected_cubic
geometry,pusht,omitted_activation_mse,,,0.022613032152400105,0.0006337194201434826,1.0,0.47178097880254516,0.37142857142857144,21,reflected_curvature
geometry,pusht,recorded_proprio_mse_h6,,,0.00021924264343558321,0.00017907632793770303,1.0,0.8425240313870789,0.8584415584415584,21,reflected_curvature
geometry,pusht,recorded_visual_mse_h6,,,0.11156537840745384,0.11404887592340489,1.0,0.9877932406011736,0.9844155844155844,21,reflected_curvature
geometry,reach,omitted_activation_mse,,,0.000816098366119673,2.6762489153273203e-11,1.0,0.9804375682305992,0.9702540106951872,33,cubic
geometry,reach,recorded_proprio_mse_h6,,,0.0008583424922640787,0.0007675998078650651,1.0,0.9930516622560405,0.9839572192513368,33,cubic
geometry,reach,recorded_visual_mse_h6,,,0.19808463960359193,0.19502581579027453,1.0,0.9980055081353495,0.9929812834224601,33,cubic
geometry,reach,omitted_activation_mse,,,0.0005573343276648872,4.608863343368398e-10,1.0,0.36419728265092605,0.4288101604278075,33,equal_anchor_linear
geometry,reach,recorded_proprio_mse_h6,,,0.0008584252419339721,0.0007675980382933778,1.0,0.9929781921570436,0.9829545454545456,33,equal_anchor_linear
geometry,reach,recorded_visual_mse_h6,,,0.19806442722828702,0.19502575741046008,1.0,0.9979503848636735,0.9929812834224601,33,equal_anchor_linear
geometry,reach,omitted_activation_mse,,,0.0006995183345376669,1.1316665173557922e-09,1.0,0.3694812268364088,0.3920454545454546,33,projected_cubic
geometry,reach,recorded_proprio_mse_h6,,,0.0008585121039622475,0.0007675973274470177,1.0,0.9929838741826473,0.9839572192513368,33,projected_cubic
geometry,reach,recorded_visual_mse_h6,,,0.19806670424801232,0.19502572426102077,1.0,0.997969975525775,0.9929812834224601,33,projected_cubic
geometry,reach,omitted_activation_mse,,,0.002161287914372444,4.505987278588614e-09,1.0,0.36308805190116633,0.39438502673796794,33,reflected_curvature
geometry,reach,recorded_proprio_mse_h6,,,0.0008586794227507786,0.0007675973252440194,1.0,0.9929641771196911,0.9829545454545456,33,reflected_curvature
geometry,reach,recorded_visual_mse_h6,,,0.19809109592678573,0.19502572321116624,1.0,0.9979457563827048,0.9929812834224601,33,reflected_curvature
geometry,reach-wall,omitted_activation_mse,,,0.0008750116111952124,2.8395505728772635e-11,1.0,0.9657825691562493,0.9487179487179487,27,cubic
geometry,reach-wall,recorded_proprio_mse_h6,,,0.0008197515777462769,0.0007344745687909,1.0,0.9945197723161836,0.9896214896214895,27,cubic
geometry,reach-wall,recorded_visual_mse_h6,,,0.2091072736468948,0.20658586284628622,1.0,0.9994931836938931,0.996947496947497,27,cubic
geometry,reach-wall,omitted_activation_mse,,,0.0005961722751467109,4.703931774103967e-10,1.0,0.305787868451757,0.5164835164835165,27,equal_anchor_linear
geometry,reach-wall,recorded_proprio_mse_h6,,,0.0008199679921228472,0.0007344745696959033,1.0,0.9946014994336128,0.9896214896214895,27,equal_anchor_linear
geometry,reach-wall,recorded_visual_mse_h6,,,0.2091285195132649,0.20658593968384795,1.0,0.9994878532863994,0.996947496947497,27,equal_anchor_linear
geometry,reach-wall,omitted_activation_mse,,,0.0007470191708610704,1.1520116830983961e-09,1.0,0.30232292157842505,0.5140415140415141,27,projected_cubic
geometry,reach-wall,recorded_proprio_mse_h6,,,0.0008197101335009607,0.0007344738366454192,1.0,0.9945022799628114,0.9896214896214895,27,projected_cubic
geometry,reach-wall,recorded_visual_mse_h6,,,0.20910493418298387,0.2065858932740894,1.0,0.9994933511253854,0.996947496947497,27,projected_cubic
geometry,reach-wall,omitted_activation_mse,,,0.0023073822840542334,4.5882994435414505e-09,1.0,0.3204892041503506,0.5463980463980465,27,reflected_curvature
geometry,reach-wall,recorded_proprio_mse_h6,,,0.0008201300448311004,0.0007344738410109938,1.0,0.9944971177866231,0.9877899877899877,27,reflected_curvature
geometry,reach-wall,recorded_visual_mse_h6,,,0.20912306163414024,0.20658589480099857,1.0,0.9994955372625938,0.996947496947497,27,reflected_curvature
geometry,wall,omitted_activation_mse,,,0.00037576475358836245,2.7553818504033497e-10,1.0,-0.0013764553379613824,0.2232489216829884,192,cubic
geometry,wall,recorded_proprio_mse_h6,,,4.748426070553123e-05,4.704053091974071e-05,1.0,0.9998220530677804,0.9990624067493151,192,cubic
