cohort,task,episode,metric,learned,random,effect
extension56,reach,25,selected_prefix_rms_learned_minus_random,1.2967433971932891,1.296743346294836,5.089845322991948e-08
extension56,reach,25,mean_proposal_mean_rms_learned_minus_random,0.8003566368902256,0.8003566167389844,2.015124123122547e-08
extension56,reach,25,mean_proposal_entropy_delta_learned_minus_random,-2.523689315201103,-2.5236887227401743,-5.924609287610849e-07
extension56,reach,26,selected_prefix_rms_learned_minus_random,1.0600737972212178,0.6375874618825094,0.4224863353387084
extension56,reach,26,mean_proposal_mean_rms_learned_minus_random,0.44027699762667893,0.25189766820556014,0.1883793294211188
extension56,reach,26,mean_proposal_entropy_delta_learned_minus_random,4.845828379447517,-2.8161076269200502,7.661936006367567
extension56,reach,27,selected_prefix_rms_learned_minus_random,1.1909029095950194,1.1933305488291461,-0.0024276392341266995
extension56,reach,27,mean_proposal_mean_rms_learned_minus_random,0.5049167957476883,0.5057914671004198,-0.0008746713527314487
extension56,reach,27,mean_proposal_entropy_delta_learned_minus_random,2.9173026837529563,3.1260896222996934,-0.20878693854673713
extension56,reach,28,selected_prefix_rms_learned_minus_random,3.6670672663820715e-07,2.3468117777465657e-07,1.320255488635506e-07
extension56,reach,28,mean_proposal_mean_rms_learned_minus_random,1.265930843238569e-07,8.287732679420803e-08,4.3715757529648866e-08
extension56,reach,28,mean_proposal_entropy_delta_learned_minus_random,9.006471168859775e-07,-1.0875113864254141e-07,1.0093982555285189e-06
extension56,reach,29,selected_prefix_rms_learned_minus_random,0.3245657293865446,0.24397599512395698,0.08058973426258761
extension56,reach,29,mean_proposal_mean_rms_learned_minus_random,0.06969599381419475,0.0421317299527663,0.027564263861428448
extension56,reach,29,mean_proposal_entropy_delta_learned_minus_random,-1.9335618899948155,0.6982347723402178,-2.6317966623350335
extension56,reach,30,selected_prefix_rms_learned_minus_random,0.7438143654146844,0.4421249426615518,0.3016894227531326
extension56,reach,30,mean_proposal_mean_rms_learned_minus_random,0.21217374060244634,0.06178470380799209,0.15038903679445426
extension56,reach,30,mean_proposal_entropy_delta_learned_minus_random,-2.1323603835304854,-1.8677901443273024,-0.264570239203183
extension56,reach,31,selected_prefix_rms_learned_minus_random,0.3489404532796045,0.11041720614181422,0.23852324713779027
extension56,reach,31,mean_proposal_mean_rms_learned_minus_random,0.07198882135662912,0.01059898733501007,0.06138983402161905
extension56,reach,31,mean_proposal_entropy_delta_learned_minus_random,1.5050390034036316,0.08295269696533746,1.4220863064382943
initial8,reach-wall,0,selected_prefix_rms_learned_minus_random,0.19455437412693305,2.1111804401668456e-07,0.19455416300888903
initial8,reach-wall,0,mean_proposal_mean_rms_learned_minus_random,0.025364282554217823,2.101020329250775e-08,0.02536426154401453
initial8,reach-wall,0,mean_proposal_entropy_delta_learned_minus_random,-0.26290597620556255,-1.2361199542472907e-07,-0.26290585259356714
initial8,reach-wall,1,selected_prefix_rms_learned_minus_random,0.2485086336173209,0.0,0.2485086336173209
initial8,reach-wall,1,mean_proposal_mean_rms_learned_minus_random,0.019111433391513624,0.0,0.019111433391513624
initial8,reach-wall,1,mean_proposal_entropy_delta_learned_minus_random,-0.18267047447068877,0.0,-0.18267047447068877
initial8,reach-wall,2,selected_prefix_rms_learned_minus_random,0.3275844389806412,0.2809155997659176,0.04666883921472359
initial8,reach-wall,2,mean_proposal_mean_rms_learned_minus_random,0.04978624018624444,0.04845953637180632,0.0013267038144381196
initial8,reach-wall,2,mean_proposal_entropy_delta_learned_minus_random,-0.016192549174662455,0.1434088706238337,-0.15960141979849615
initial8,reach-wall,3,selected_prefix_rms_learned_minus_random,0.2156161939630203,0.16763188443974236,0.047984309523277924
initial8,reach-wall,3,mean_proposal_mean_rms_learned_minus_random,0.027277199385568954,0.0068171098179052895,0.020460089567663663
initial8,reach-wall,3,mean_proposal_entropy_delta_learned_minus_random,0.41600037330973927,-0.05466296496963376,0.470663338279373
extension56,reach-wall,4,selected_prefix_rms_learned_minus_random,0.5343849343869513,2.255390758321639e-07,0.5343847088478755
extension56,reach-wall,4,mean_proposal_mean_rms_learned_minus_random,0.2021286121232487,8.140354490245632e-08,0.2021285307197038
extension56,reach-wall,4,mean_proposal_entropy_delta_learned_minus_random,0.4026172953297704,7.558753606436615e-07,0.4026165394544098
extension56,reach-wall,5,selected_prefix_rms_learned_minus_random,0.7801228239790737,0.482285105695491,0.29783771828358274
extension56,reach-wall,5,mean_proposal_mean_rms_learned_minus_random,0.21000132164933882,0.10599280874286945,0.10400851290646937
extension56,reach-wall,5,mean_proposal_entropy_delta_learned_minus_random,-0.3068520897277234,-1.3843755930797306,1.0775235033520072
extension56,reach-wall,6,selected_prefix_rms_learned_minus_random,4.5235507359592657e-07,3.549376105002567e-07,9.741746309566987e-08
extension56,reach-wall,6,mean_proposal_mean_rms_learned_minus_random,1.7576919974535326e-07,1.0725284262641883e-07,6.851635711893442e-08
extension56,reach-wall,6,mean_proposal_entropy_delta_learned_minus_random,1.453143042103496e-06,-5.520145146912606e-07,2.0051575567947567e-06
extension56,reach-wall,7,selected_prefix_rms_learned_minus_random,0.38373565954074007,0.17127690535665838,0.2124587541840817
extension56,reach-wall,7,mean_proposal_mean_rms_learned_minus_random,0.060138707622471116,0.010458108103752656,0.04968059951871846
extension56,reach-wall,7,mean_proposal_entropy_delta_learned_minus_random,0.11348718042061065,0.07238456433196631,0.041102616088644336
extension56,reach-wall,8,selected_prefix_rms_learned_minus_random,0.14575219127751005,0.04788577550670003,0.09786641577081001
extension56,reach-wall,8,mean_proposal_mean_rms_learned_minus_random,0.00475598427674303,1.3587664003175144e-07,0.0047558484001029985
extension56,reach-wall,8,mean_proposal_entropy_delta_learned_minus_random,0.024867986244510122,-2.605664254436609e-07,0.024868246810935565
extension56,reach-wall,9,selected_prefix_rms_learned_minus_random,0.9909588537897797,1.549290863343481e-07,0.9909586988606933
extension56,reach-wall,9,mean_proposal_mean_rms_learned_minus_random,0.4570629027483617,4.821146563865215e-08,0.45706285453689605
extension56,reach-wall,9,mean_proposal_entropy_delta_learned_minus_random,-5.311034292111155,-3.309961584818666e-08,-5.31103425901154
extension56,reach-wall,10,selected_prefix_rms_learned_minus_random,0.3660165551232812,1.4614288201578224e-07,0.36601640898039917
extension56,reach-wall,10,mean_proposal_mean_rms_learned_minus_random,0.09142316784211028,1.3000886433127555e-08,0.09142315484122385
extension56,reach-wall,10,mean_proposal_entropy_delta_learned_minus_random,-0.6103197778169948,9.33001018665891e-09,-0.610319787147005
extension56,reach-wall,11,selected_prefix_rms_learned_minus_random,3.5305585920372675e-07,0.6782272663892487,-0.6782269133333895
extension56,reach-wall,11,mean_proposal_mean_rms_learned_minus_random,1.6947118590869735e-07,0.2650685197945798,-0.2650683503233939
extension56,reach-wall,11,mean_proposal_entropy_delta_learned_minus_random,3.635540920754465e-07,2.461101342030008,-2.461100978475916
extension56,reach-wall,12,selected_prefix_rms_learned_minus_random,2.5100275116005417e-07,0.2753135416154137,-0.2753132906126626
extension56,reach-wall,12,mean_proposal_mean_rms_learned_minus_random,5.6701895820809585e-08,0.03849690476231336,-0.03849684806041754
extension56,reach-wall,12,mean_proposal_entropy_delta_learned_minus_random,-1.2114992008112797e-07,-0.6785573056671941,0.678557184517274
extension56,reach-wall,13,selected_prefix_rms_learned_minus_random,0.3695490493087351,1.3433102729293113e-07,0.3695489149777078
extension56,reach-wall,13,mean_proposal_mean_rms_learned_minus_random,0.07597766065726431,1.0771112279556577e-07,0.07597755294614152
extension56,reach-wall,13,mean_proposal_entropy_delta_learned_minus_random,-1.2429599504309232,-1.2668037262149784e-07,-1.2429598237505506
extension56,reach-wall,14,selected_prefix_rms_learned_minus_random,1.0396874765833557,3.257421472626855e-07,1.0396871508412084
extension56,reach-wall,14,mean_proposal_mean_rms_learned_minus_random,0.29092794356030294,9.087402890326689e-08,0.290927852686274
