task,bank,arm,modality,horizon,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fresh,all_blocks_persistent_donor,official,3,native_spearman,8,8,0.74901148901654468,0.72294274380826451,0.77345721063567385
reach,fresh,all_blocks_persistent_donor,official,3,spearman_loss,8,8,0.25098851098345537,0.22654278936432626,0.27705725619173549
reach,fresh,all_blocks_persistent_donor,official,3,native_top10_overlap,8,8,5,3.75,6.125
reach,fresh,all_blocks_persistent_donor,official,3,centered_cost_change_rms,8,8,0.10668660345410716,0.090137396365644537,0.12839346221642522
reach,fresh,all_blocks_persistent_donor,official,4,donor_reconstruction,8,8,1,1,1
reach,fresh,all_blocks_persistent_donor,official,4,numerator_mse_mean,8,8,0,0,0
reach,fresh,all_blocks_persistent_donor,official,4,denominator_mse_mean,8,8,0.15735417205709912,0.14749186776122747,0.16774013421668596
reach,fresh,all_blocks_persistent_donor,official,4,native_spearman,8,8,0.74901148901654468,0.72294274380826451,0.77345721063567385
reach,fresh,all_blocks_persistent_donor,official,4,spearman_loss,8,8,0.25098851098345537,0.22654278936432626,0.27705725619173549
reach,fresh,all_blocks_persistent_donor,official,4,native_top10_overlap,8,8,5,3.75,6.125
reach,fresh,all_blocks_persistent_donor,official,4,centered_cost_change_rms,8,8,0.10668660345410716,0.090137396365644537,0.12839346221642522
reach,fresh,all_blocks_persistent_donor,official,6,donor_reconstruction,8,8,1,1,1
reach,fresh,all_blocks_persistent_donor,official,6,numerator_mse_mean,8,8,0,0,0
reach,fresh,all_blocks_persistent_donor,official,6,denominator_mse_mean,8,8,0.17485366522844392,0.16454510467935715,0.18612528250334948
reach,fresh,all_blocks_persistent_donor,official,6,native_spearman,8,8,0.74901148901654468,0.72294274380826451,0.77345721063567385
reach,fresh,all_blocks_persistent_donor,official,6,spearman_loss,8,8,0.25098851098345537,0.22654278936432626,0.27705725619173549
reach,fresh,all_blocks_persistent_donor,official,6,native_top10_overlap,8,8,5,3.75,6.125
reach,fresh,all_blocks_persistent_donor,official,6,centered_cost_change_rms,8,8,0.10668660345410716,0.090137396365644537,0.12839346221642522
reach,fresh,all_blocks_persistent_donor,proprio,3,donor_reconstruction,8,8,1,1,1
reach,fresh,all_blocks_persistent_donor,proprio,3,numerator_mse_mean,8,8,0,0,0
reach,fresh,all_blocks_persistent_donor,proprio,3,denominator_mse_mean,8,8,0.001039163217617687,0.00099802617656410703,0.0010816592828215607
reach,fresh,all_blocks_persistent_donor,proprio,3,native_spearman,8,8,0.76184302047800534,0.74639963916265739,0.77646023844709389
reach,fresh,all_blocks_persistent_donor,proprio,3,spearman_loss,8,8,0.23815697952199469,0.22353976155290611,0.25360036083734261
reach,fresh,all_blocks_persistent_donor,proprio,3,native_top10_overlap,8,8,4.75,4.1218750000000028,5.375
reach,fresh,all_blocks_persistent_donor,proprio,3,centered_cost_change_rms,8,8,0.043636691421169105,0.040570243645335902,0.046837658223668761
