task,bank,site,comparison,metric,n,n_defined,mean,min,max,sum
reach,original,B0,h3_vs_counterfactual,winner_agreement,8,8,0.5,0,1,4
reach,original,B0,h3_vs_counterfactual,winner_mismatch,8,8,0.5,0,1,4
reach,original,B0,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.5,0,1,4
reach,original,B0,persistent_vs_counterfactual,spearman,8,8,0.78565945177168639,0.72672229691441015,0.83907776753075036,6.2852756141734911
reach,original,B0,persistent_vs_counterfactual,elite_overlap,8,8,5,3,7,40
reach,original,B0,persistent_vs_counterfactual,winner_agreement,8,8,0.5,0,1,4
reach,original,B0,persistent_vs_counterfactual,winner_mismatch,8,8,0.5,0,1,4
reach,original,B0,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.5,0,1,4
reach,original,B0,persistent_vs_h3,spearman,8,8,0.99662992085363489,0.99528705874509715,0.99763686263180706,7.9730393668290791
reach,original,B0,persistent_vs_h3,elite_overlap,8,8,9.125,8,10,73
reach,original,B0,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach,original,B0,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach,original,B0,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach,original,B1,h3_vs_counterfactual,spearman,8,8,0.79785936510405664,0.72507027855865069,0.84955432838142642,6.3828749208324531
reach,original,B1,h3_vs_counterfactual,elite_overlap,8,8,5.25,4,7,42
reach,original,B1,h3_vs_counterfactual,winner_agreement,8,8,0.625,0,1,5
reach,original,B1,h3_vs_counterfactual,winner_mismatch,8,8,0.375,0,1,3
reach,original,B1,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.375,0,1,3
reach,original,B1,persistent_vs_counterfactual,spearman,8,8,0.93492616584628718,0.92293469927443639,0.95211324570273004,7.4794093267702975
reach,original,B1,persistent_vs_counterfactual,elite_overlap,8,8,7,6,8,56
reach,original,B1,persistent_vs_counterfactual,winner_agreement,8,8,0.625,0,1,5
reach,original,B1,persistent_vs_counterfactual,winner_mismatch,8,8,0.375,0,1,3
reach,original,B1,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.375,0,1,3
reach,original,B1,persistent_vs_h3,spearman,8,8,0.93918915765730726,0.91299458882876472,0.95453460594006601,7.5135132612584581
reach,original,B1,persistent_vs_h3,elite_overlap,8,8,7,4,9,56
reach,original,B1,persistent_vs_h3,winner_agreement,8,8,0.625,0,1,5
reach,original,B1,persistent_vs_h3,winner_mismatch,8,8,0.375,0,1,3
reach,original,B1,persistent_vs_h3,minimum_sets_disjoint,8,8,0.375,0,1,3
reach,original,B2,h3_vs_counterfactual,spearman,8,8,0.7637248191646574,0.68123601373348597,0.82496027733641486,6.1097985533172592
reach,original,B2,h3_vs_counterfactual,elite_overlap,8,8,5.125,3,7,41
reach,original,B2,h3_vs_counterfactual,winner_agreement,8,8,0.5,0,1,4
reach,original,B2,h3_vs_counterfactual,winner_mismatch,8,8,0.5,0,1,4
reach,original,B2,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.5,0,1,4
reach,original,B2,persistent_vs_counterfactual,spearman,8,8,0.78471139636383924,0.71654529494772168,0.84210446782742032,6.2776911709107139
reach,original,B2,persistent_vs_counterfactual,elite_overlap,8,8,5.125,3,7,41
reach,original,B2,persistent_vs_counterfactual,winner_agreement,8,8,0.5,0,1,4
reach,original,B2,persistent_vs_counterfactual,winner_mismatch,8,8,0.5,0,1,4
reach,original,B2,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.5,0,1,4
reach,original,B2,persistent_vs_h3,spearman,8,8,0.99864027654306242,0.99785464282936476,0.99900843342703805,7.9891222123444994
reach,original,B2,persistent_vs_h3,elite_overlap,8,8,9.875,9,10,79
reach,original,B2,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach,original,B2,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach,original,B2,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach,original,B3,h3_vs_counterfactual,spearman,8,8,0.74107462305136718,0.65968021866909632,0.79760797342192691,5.9285969844109374
reach,original,B3,h3_vs_counterfactual,elite_overlap,8,8,4.5,2,7,36
reach,original,B3,h3_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,original,B3,h3_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,original,B3,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,original,B3,persistent_vs_counterfactual,spearman,8,8,0.75052372804142276,0.67356259513994599,0.80634495938843764,6.004189824331382
reach,original,B3,persistent_vs_counterfactual,elite_overlap,8,8,4.625,2,7,37
reach,original,B3,persistent_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,original,B3,persistent_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,original,B3,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,original,B3,persistent_vs_h3,spearman,8,8,0.99960894009933443,0.99949554995055501,0.99973999711107897,7.9968715207946754
reach,original,B3,persistent_vs_h3,elite_overlap,8,8,9.625,8,10,77
reach,original,B3,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach,original,B3,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach,original,B3,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach,original,B4,h3_vs_counterfactual,spearman,8,8,0.7897986088734319,0.73158546206068953,0.84575339725996956,6.3183888709874552
reach,original,B4,h3_vs_counterfactual,elite_overlap,8,8,4.75,3,7,38
reach,original,B4,h3_vs_counterfactual,winner_agreement,8,8,0.625,0,1,5
reach,original,B4,h3_vs_counterfactual,winner_mismatch,8,8,0.375,0,1,3
reach,original,B4,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.375,0,1,3
reach,original,B4,persistent_vs_counterfactual,spearman,8,8,0.79237713752375027,0.73593173257480637,0.84775564172935258,6.3390171001900022
reach,original,B4,persistent_vs_counterfactual,elite_overlap,8,8,4.75,3,7,38
reach,original,B4,persistent_vs_counterfactual,winner_agreement,8,8,0.625,0,1,5
reach,original,B4,persistent_vs_counterfactual,winner_mismatch,8,8,0.375,0,1,3
reach,original,B4,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.375,0,1,3
reach,original,B4,persistent_vs_h3,spearman,8,8,0.99991383237591536,0.99987777641973796,0.99995644396048844,7.9993106590073229
reach,original,B4,persistent_vs_h3,elite_overlap,8,8,10,10,10,80
reach,original,B4,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach,original,B4,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach,original,B4,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach,original,B5,h3_vs_counterfactual,spearman,8,8,0.74461677351970579,0.66222913587928756,0.80418049089434329,5.9569341881576463
reach,original,B5,h3_vs_counterfactual,elite_overlap,8,8,4.625,3,7,37
reach,original,B5,h3_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,original,B5,h3_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,original,B5,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,original,B5,persistent_vs_counterfactual,spearman,8,8,0.7444632718141313,0.6621166901854465,0.80406937854865057,5.9557061745130504
reach,original,B5,persistent_vs_counterfactual,elite_overlap,8,8,4.625,3,7,37
reach,original,B5,persistent_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,original,B5,persistent_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,original,B5,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,original,B5,persistent_vs_h3,spearman,8,8,0.99999272214135715,0.99998577761975138,0.99999733330370333,7.9999417771308572
reach,original,B5,persistent_vs_h3,elite_overlap,8,8,10,10,10,80
reach,original,B5,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach,original,B5,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach,original,B5,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach,original,all_blocks,h3_vs_counterfactual,spearman,8,8,0.87752208357870631,0.8252185024278047,0.91163546261625128,7.0201766686296505
reach,original,all_blocks,h3_vs_counterfactual,elite_overlap,8,8,6.625,6,8,53
reach,original,all_blocks,h3_vs_counterfactual,winner_agreement,8,8,0.625,0,1,5
reach,original,all_blocks,h3_vs_counterfactual,winner_mismatch,8,8,0.375,0,1,3
reach,original,all_blocks,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.375,0,1,3
reach,original,all_blocks,persistent_vs_counterfactual,spearman,8,8,1,1,1,8
reach,original,all_blocks,persistent_vs_counterfactual,elite_overlap,8,8,10,10,10,80
reach,original,all_blocks,persistent_vs_counterfactual,winner_agreement,8,8,1,1,1,8
reach,original,all_blocks,persistent_vs_counterfactual,winner_mismatch,8,8,0,0,0,0
reach,original,all_blocks,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0,0,0,0
reach,original,all_blocks,persistent_vs_h3,spearman,8,8,0.87752208357870631,0.8252185024278047,0.91163546261625128,7.0201766686296505
reach,original,all_blocks,persistent_vs_h3,elite_overlap,8,8,6.625,6,8,53
reach,original,all_blocks,persistent_vs_h3,winner_agreement,8,8,0.625,0,1,5
reach,original,all_blocks,persistent_vs_h3,winner_mismatch,8,8,0.375,0,1,3
reach,original,all_blocks,persistent_vs_h3,minimum_sets_disjoint,8,8,0.375,0,1,3
reach,original,reference,native_vs_counterfactual,spearman,8,8,0.74111923465816287,0.65739397104412267,0.80090001000011113,5.928953877265303
reach,original,reference,native_vs_counterfactual,elite_overlap,8,8,4.375,2,7,35
reach,original,reference,native_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,original,reference,native_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,original,reference,native_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach-wall,fresh,B0,h3_vs_counterfactual,spearman,8,8,0.77055006166735185,0.72611917910198998,0.81473394148823874,6.1644004933388148
reach-wall,fresh,B0,h3_vs_counterfactual,elite_overlap,8,8,4.875,3,7,39
reach-wall,fresh,B0,h3_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach-wall,fresh,B0,h3_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach-wall,fresh,B0,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach-wall,fresh,B0,persistent_vs_counterfactual,spearman,8,8,0.80192018800208897,0.74602606695629947,0.8391031011455683,6.4153615040167118
reach-wall,fresh,B0,persistent_vs_counterfactual,elite_overlap,8,8,5.375,3,8,43
reach-wall,fresh,B0,persistent_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach-wall,fresh,B0,persistent_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach-wall,fresh,B0,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach-wall,fresh,B0,persistent_vs_h3,spearman,8,8,0.99570289669885215,0.99353548372759692,0.99719196879965333,7.9656231735908172
reach-wall,fresh,B0,persistent_vs_h3,elite_overlap,8,8,9.125,9,10,73
reach-wall,fresh,B0,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach-wall,fresh,B0,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach-wall,fresh,B0,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach-wall,fresh,B1,h3_vs_counterfactual,spearman,8,8,0.82006311181235347,0.78045756063956262,0.85728730319225765,6.5605048944988278
reach-wall,fresh,B1,h3_vs_counterfactual,elite_overlap,8,8,5.875,3,9,47
reach-wall,fresh,B1,h3_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach-wall,fresh,B1,h3_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach-wall,fresh,B1,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach-wall,fresh,B1,persistent_vs_counterfactual,spearman,8,8,0.95063750708341199,0.93304903387815419,0.95949510550117223,7.6051000566672959
reach-wall,fresh,B1,persistent_vs_counterfactual,elite_overlap,8,8,7.625,6,9,61
reach-wall,fresh,B1,persistent_vs_counterfactual,winner_agreement,8,8,0.625,0,1,5
reach-wall,fresh,B1,persistent_vs_counterfactual,winner_mismatch,8,8,0.375,0,1,3
reach-wall,fresh,B1,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.375,0,1,3
reach-wall,fresh,B1,persistent_vs_h3,spearman,8,8,0.93625645840509342,0.91957466194068826,0.95609551217235744,7.4900516672407473
reach-wall,fresh,B1,persistent_vs_h3,elite_overlap,8,8,7.375,5,9,59
reach-wall,fresh,B1,persistent_vs_h3,winner_agreement,8,8,0.5,0,1,4
reach-wall,fresh,B1,persistent_vs_h3,winner_mismatch,8,8,0.5,0,1,4
reach-wall,fresh,B1,persistent_vs_h3,minimum_sets_disjoint,8,8,0.5,0,1,4
reach-wall,fresh,B2,h3_vs_counterfactual,spearman,8,8,0.78199502216691297,0.74355715063500705,0.82524250269447441,6.2559601773353037
reach-wall,fresh,B2,h3_vs_counterfactual,elite_overlap,8,8,5.375,3,8,43
reach-wall,fresh,B2,h3_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach-wall,fresh,B2,h3_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach-wall,fresh,B2,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach-wall,fresh,B2,persistent_vs_counterfactual,spearman,8,8,0.80297747752752813,0.76667474083045373,0.83896221069122989,6.423819820220225
reach-wall,fresh,B2,persistent_vs_counterfactual,elite_overlap,8,8,5.5,3,9,44
reach-wall,fresh,B2,persistent_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach-wall,fresh,B2,persistent_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach-wall,fresh,B2,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach-wall,fresh,B2,persistent_vs_h3,spearman,8,8,0.99865070723008031,0.99780930899232212,0.99927954755052839,7.9892056578406425
reach-wall,fresh,B2,persistent_vs_h3,elite_overlap,8,8,9.375,9,10,75
reach-wall,fresh,B2,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach-wall,fresh,B2,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach-wall,fresh,B2,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach-wall,fresh,B3,h3_vs_counterfactual,spearman,8,8,0.76065856287292077,0.71784619829109209,0.80580895343281589,6.0852685029833662
reach-wall,fresh,B3,h3_vs_counterfactual,elite_overlap,8,8,4.5,2,6,36
reach-wall,fresh,B3,h3_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach-wall,fresh,B3,h3_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach-wall,fresh,B3,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach-wall,fresh,B3,persistent_vs_counterfactual,spearman,8,8,0.77031422571361907,0.72512494583273146,0.81246547183857598,6.1625138057089526
reach-wall,fresh,B3,persistent_vs_counterfactual,elite_overlap,8,8,4.625,2,7,37
reach-wall,fresh,B3,persistent_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach-wall,fresh,B3,persistent_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach-wall,fresh,B3,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach-wall,fresh,B3,persistent_vs_h3,spearman,8,8,0.99967227413637927,0.99952755030611451,0.99977955310614564,7.9973781930910341
reach-wall,fresh,B3,persistent_vs_h3,elite_overlap,8,8,9.625,9,10,77
reach-wall,fresh,B3,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach-wall,fresh,B3,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach-wall,fresh,B3,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach-wall,fresh,B4,h3_vs_counterfactual,spearman,8,8,0.80417721308014534,0.75807420082445365,0.84844498272203028,6.4334177046411627
reach-wall,fresh,B4,h3_vs_counterfactual,elite_overlap,8,8,5.875,4,8,47
reach-wall,fresh,B4,h3_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach-wall,fresh,B4,h3_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach-wall,fresh,B4,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach-wall,fresh,B4,persistent_vs_counterfactual,spearman,8,8,0.80611824552679523,0.76051467238524872,0.84981433127034745,6.4489459642143618
reach-wall,fresh,B4,persistent_vs_counterfactual,elite_overlap,8,8,5.875,4,8,47
reach-wall,fresh,B4,persistent_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
