source_id,task,precision,control,intervention,metric,control_mean,intervention_mean,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high
S39,wall,float32,reflected_curvature,cubic,raw_native_proprio_fidelity_mse_h6,1.4934637380548302e-10,3.1067887969540913e-15,1.4934326701668605e-10,2.6368720187095833e-11,3.375383382984303e-10,192,99.99791974273107,99.99364110316111,99.99906201762091
S39,wall,float32,reflected_curvature,cubic,delivered_native_proprio_fidelity_mse_h6,1.3052470014771192e-11,6.542399010607997e-12,6.510071004163197e-12,-6.757906952024483e-12,2.5473053868686625e-11,192,49.87616134567552,-84.89116792638856,84.99655075778443
S39,wall,float32,reflected_curvature,cubic,recorded_visual_mse_h1,0.017084771637614307,0.017084771637614307,0.0,0.0,0.0,192,0.0,0.0,0.0
S39,wall,float32,reflected_curvature,cubic,recorded_visual_mse_h2,0.021774720418761717,0.021774720418761717,0.0,0.0,0.0,192,0.0,0.0,0.0
S39,wall,float32,reflected_curvature,cubic,recorded_visual_mse_h3,0.023867223170809942,0.02386488056700645,2.3426038034924016e-06,6.423394166413117e-07,3.999637305462357e-06,192,0.009815965332397893,0.0026509138668408486,0.017082180960706905
S39,wall,float32,reflected_curvature,cubic,recorded_visual_mse_h4,0.026333299151178147,0.02632898785293836,4.31129823978577e-06,1.7920188232291266e-06,7.054354084561337e-06,192,0.0163733782275101,0.006758410633138749,0.02629586472576659
S39,wall,float32,reflected_curvature,cubic,recorded_visual_mse_h5,0.031079350051269022,0.03107706350210444,2.2865491645821336e-06,-1.741691134652608e-06,5.843799565561719e-06,192,0.007357705689956534,-0.005202738325457534,0.019478877646877717
S39,wall,float32,reflected_curvature,cubic,recorded_visual_mse_h6,0.03651738495880801,0.03651563657959658,1.748379211428288e-06,-2.7300488275639472e-06,5.34157971384089e-06,192,0.004787712339384989,-0.006800071501745009,0.015195275265178427
S39,wall,float32,reflected_curvature,cubic,raw_native_visual_fidelity_mse_h3,8.018070254253958e-07,1.5703121125836153e-11,8.017913223042701e-07,6.833508603898959e-07,9.281445644621862e-07,192,99.9980415336075,99.99675954978154,99.9990034199915
S39,wall,float32,reflected_curvature,cubic,delivered_native_visual_fidelity_mse_h3,3.336379465641396e-08,1.3031013130186378e-08,2.0332781526227583e-08,1.7898959032778607e-08,2.2761131356642005e-08,192,60.94265276362604,54.712591122325065,66.19318601068764
S39,wall,float32,reflected_curvature,cubic,raw_native_visual_fidelity_mse_h6,3.500528123475587e-06,4.456236214571514e-11,3.5004835611134408e-06,5.198767975003604e-07,8.385969565097356e-06,192,99.99872698174178,99.99719116388957,99.9997141948672
S39,wall,float32,reflected_curvature,cubic,delivered_native_visual_fidelity_mse_h6,2.2444716077647311e-07,1.3272142166407807e-07,9.172573911239508e-08,-1.4782885897709616e-07,4.06830469615691e-07,192,40.86740896836059,-86.74976531877404,84.92850872501093
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,omitted_activation_mse,0.0033742924390616448,0.004798835878161194,-0.0014245434390995498,-0.0014351394757168984,-0.001414040367471123,200,-42.21754530249608,-42.42877201506077,-42.00481208573353
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h1,0.00015912717820553747,0.00015912717820553747,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h2,0.0003824993663408431,0.0003824993663408431,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h3,0.0008177272275350064,0.0008180903172874274,-3.6308975242093223e-07,-5.214894675081485e-07,-2.027482074075478e-07,200,-0.044390352819011374,-0.0720747674150189,-0.021905984686329115
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h4,0.0014238723954991606,0.0014243420260337733,-4.696305346129304e-07,-9.017815878187285e-07,-6.33874676781741e-08,200,-0.032982741392474035,-0.06350443368589101,-0.004584786948168437
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h5,0.002287345694464018,0.0022882913578880226,-9.45663424004769e-07,-1.7773498928938375e-06,-1.2461779191489206e-07,200,-0.04134938944677395,-0.08025318467759035,-0.005373038179583218
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h6,0.0032039583351797583,0.0032034482494629223,5.100857168361333e-07,-9.350299095861484e-07,2.003902484681108e-06,200,0.01591827955212165,-0.030363275378414187,0.060077387211908126
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,raw_native_proprio_fidelity_mse_h3,1.7801369089108441e-07,1.9887687497241138e-07,-2.0863184081326977e-08,-2.3109217862237568e-08,-1.8655109433138714e-08,200,-11.719988489026875,-12.981344932025568,-10.482668558592431
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,delivered_native_proprio_fidelity_mse_h3,1.7542591272286766e-07,1.6954798269920827e-07,5.8779300236593935e-09,4.027268820165835e-09,7.802135898937198e-09,200,3.3506623579295054,2.3065781579280507,4.414343256592795
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,raw_native_proprio_fidelity_mse_h6,9.809229875105075e-07,1.1201080740582917e-06,-1.3918508654778418e-07,-2.755133426197018e-07,-1.827108034438376e-08,200,-14.189196126499509,-29.39153788613287,-1.7749552526680654
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,delivered_native_proprio_fidelity_mse_h6,1.39869081080433e-06,1.2311418005405702e-06,1.675490102637598e-07,-1.183244515939091e-07,6.139826969407718e-07,200,11.97898842042218,-12.478088705099193,26.134747800647617
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_visual_mse_h1,0.00594787568618738,0.00594787568618738,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_visual_mse_h2,0.01140437523721809,0.01140437523721809,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_visual_mse_h3,0.020120370180196256,0.020130196938650934,-9.82675845467582e-06,-1.1577489077457994e-05,-8.072285044706278e-06,200,-0.04881969839652059,-0.05754672112929372,-0.0400821481522355
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_visual_mse_h4,0.028112784149650044,0.02811679696146071,-4.012811810664074e-06,-6.8514886177165866e-06,-1.115516319915852e-06,200,-0.014273345204936397,-0.024361664621998565,-0.00397449950509943
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_visual_mse_h5,0.036289466352132344,0.03629151023433879,-2.043882206456543e-06,-7.10693710389639e-06,2.970515921512001e-06,200,-0.005632916523520718,-0.019394457608367003,0.008169662809641666
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,recorded_visual_mse_h6,0.043000129853417245,0.04300857516266138,-8.445309244141758e-06,-1.7206157739803625e-05,-1.7019507277590727e-07,200,-0.019639059364889817,-0.0396050351842648,-0.0004050472411357501
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,raw_native_visual_fidelity_mse_h3,2.9252302510045765e-05,3.0263572331679203e-05,-1.0112698216334304e-06,-1.0656694706506746e-06,-9.574981218084298e-07,200,-3.4570605896275763,-3.6427835804754247,-3.2727304094824583
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,delivered_native_visual_fidelity_mse_h3,2.9209186201770817e-05,2.891647332862554e-05,2.9271287314527486e-07,2.469867482659539e-07,3.382118032829165e-07,200,1.0021260815802155,0.8468989335686865,1.1566406750965985
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,raw_native_visual_fidelity_mse_h6,6.484320792155739e-05,6.848996100356477e-05,-3.646753082007382e-06,-5.809600763684818e-06,-1.3218294711414006e-06,200,-5.623955382372444,-9.177607618532278,-1.9742478175317872
S40,pointmaze,bfloat16,equal_anchor_linear,cubic,delivered_native_visual_fidelity_mse_h6,6.511028945475177e-05,6.400782239705252e-05,1.1024670576992573e-06,-1.615121996043152e-06,3.502115095450968e-06,200,1.693230159060211,-2.506023671885546,5.235894062717737
S40,pointmaze,bfloat16,projected_cubic,cubic,omitted_activation_mse,0.004316541861950756,0.004798835878161194,-0.0004822940162104386,-0.0004927467825542467,-0.00047206122238980033,200,-11.173157393925461,-11.41592024157166,-10.932880075396023
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_proprio_mse_h1,0.00015912717820553747,0.00015912717820553747,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_proprio_mse_h2,0.0003824993663408431,0.0003824993663408431,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_proprio_mse_h3,0.0008176311988572743,0.0008180903172874274,-4.5911843015301324e-07,-6.885087305197451e-07,-2.2539018358084237e-07,200,-0.056130554399606764,-0.09455494449374986,-0.02428317729490034
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_proprio_mse_h4,0.0014237998272586185,0.0014243420260337733,-5.421987751545663e-07,-1.3266561217591735e-06,1.376060704867855e-07,200,-0.03807929993090968,-0.09338746359505605,0.00956980004216034
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_proprio_mse_h5,0.002286755288962058,0.0022882913578880226,-1.5360689259650448e-06,-2.7653619796298796e-06,-4.567327472428749e-07,200,-0.06716502999326757,-0.1194865485767971,-0.0208231105144954
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_proprio_mse_h6,0.003205474690261285,0.0032034482494629223,2.0264407983624875e-06,-5.816659844277016e-07,5.647281653762938e-06,200,0.06323927539912173,-0.01853926872438952,0.17178933670001995
S40,pointmaze,bfloat16,projected_cubic,cubic,raw_native_proprio_fidelity_mse_h3,2.0597954364463753e-07,1.9887687497241138e-07,7.102668672226147e-09,4.1972159360759e-09,9.97497420798571e-09,200,3.4482398332136794,2.0544616812809435,4.801732128222101
S40,pointmaze,bfloat16,projected_cubic,cubic,delivered_native_proprio_fidelity_mse_h3,1.836531227917808e-07,1.6954798269920827e-07,1.4105140092572475e-08,1.1613887428098701e-08,1.665307731875375e-08,200,7.680315955511612,6.398971169908691,8.956406934449829
S40,pointmaze,bfloat16,projected_cubic,cubic,raw_native_proprio_fidelity_mse_h6,1.2008261913908558e-06,1.1201080740582917e-06,8.071811733256408e-08,-1.0557787118985033e-07,3.038133080979257e-07,200,6.721881810311982,-10.151110742346914,21.27980353762388
S40,pointmaze,bfloat16,projected_cubic,cubic,delivered_native_proprio_fidelity_mse_h6,1.1775978556503067e-06,1.2311418005405702e-06,-5.354394489026364e-08,-2.0716240946901632e-07,7.284688279258817e-08,200,-4.546878599799673,-18.831565711963705,6.6200855623834824
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_visual_mse_h1,0.00594787568618738,0.00594787568618738,0.0,0.0,0.0,200,0.0,0.0,0.0
