candidate_centered_fraction,between_call_fraction,scenario_mean_fraction,common_to_candidates_fraction,total_coefficient_energy,calls,task,arm,scenario,max_relative_coefficient_vs_requested_norm_error,first_iteration_fraction,last_first_plan_iteration_fraction
0.023233975844400147,0.059925199879868246,0.9168408242757311,0.9767660241555994,812707.7329910166,75,reach,fixed_rank4,scenario-043,1.4062755217059873e-07,0.005663913393142266,0.004396929239026596
0.008750737583088612,0.050653121380873065,0.9405961410360378,0.9912492624169109,812707.5852065803,75,reach,matched_random_fixed_rank4,scenario-043,2.311806028404027e-07,0.0031169021050321787,0.0017545144304180803
0.01917580486537824,0.29696258790875185,0.68386160722587,0.9808241951346218,812707.7045722154,75,reach,fixed_rank4,scenario-044,1.411106205115766e-07,0.004103403049396283,0.007648773086863223
0.004606008276452909,0.10274325337343305,0.8926507383501145,0.9953939917235476,812707.6246337625,75,reach,matched_random_fixed_rank4,scenario-044,2.209781880182232e-07,0.0022270332329890957,0.0038965788875271563
0.007294878519652823,0.4222774016529962,0.5704277198273511,0.9927051214803474,812707.6859719412,75,reach,fixed_rank4,scenario-045,1.469343265961222e-07,0.004796909213537711,0.0024137568248388955
0.0018788482944610756,0.07974410416894331,0.9183770475365955,0.998121151705539,812707.6492789986,75,reach,matched_random_fixed_rank4,scenario-045,2.0162945775342691e-07,0.0025210083136303295,0.0015965493145556652
0.014636244531210027,0.43633208216004254,0.5490316733087476,0.9853637554687901,812707.6889070644,75,reach,fixed_rank4,scenario-046,1.5794747151326567e-07,0.0038774659393721054,0.001679605090949285
0.0028660968815656337,0.08330802421239025,0.9138258789060443,0.9971339031184345,812707.6454272835,75,reach,matched_random_fixed_rank4,scenario-046,2.1895650865560872e-07,0.00206178710664025,0.0004727865291351397
0.016689905107748565,0.09643467528088419,0.8868754196113672,0.9833100948922514,812707.7314569982,75,reach,fixed_rank4,scenario-047,1.4466403652761336e-07,0.004739310382290395,0.0067624124724008396
0.009145690339896147,0.05996690500854458,0.9308874046515586,0.9908543096601032,812707.5700878463,75,reach,matched_random_fixed_rank4,scenario-047,2.2462666282935943e-07,0.0023017520012025682,0.005089000957062983
0.008749550914281623,0.39142662174931525,0.599823827336403,0.9912504490857184,812707.6923121761,75,reach,fixed_rank4,scenario-048,1.3882559762022936e-07,0.004568291276253078,0.005789198995405729
0.0015090717037835478,0.08301574376687547,0.9154751845293406,0.9984909282962161,812707.6467562254,75,reach,matched_random_fixed_rank4,scenario-048,2.0394458254558216e-07,0.0026680402628879263,0.0013076654036341471
0.011511159177342687,0.39702003271584524,0.591468808106812,0.9884888408226571,812707.6943716232,75,reach,fixed_rank4,scenario-049,1.4095676195124478e-07,0.004866350408413836,0.010068801300082732
0.0026385671743507063,0.09059729406888375,0.9067641387567655,0.9973614328256494,812707.6447032345,75,reach,matched_random_fixed_rank4,scenario-049,2.1225472085850612e-07,0.0019486559081946303,0.0013754755099973212
0.005465296658880783,0.2929193384153949,0.7016153649257248,0.9945347033411199,812707.6789725887,75,reach,fixed_rank4,scenario-050,1.429199390047283e-07,0.006303883785797266,0.0002008593710831317
0.001079051358054553,0.06013928826852506,0.9387816603734205,0.9989209486419456,812707.6418611459,75,reach,matched_random_fixed_rank4,scenario-050,2.0990880195039545e-07,0.0014685494940952558,0.00025716029450927036
0.00714325631220312,0.26450085659149886,0.7283558870962982,0.9928567436877971,812707.6821596979,75,reach,fixed_rank4,scenario-051,1.6731800954063182e-07,0.005199955826721749,0.004754800137299865
0.0019233732127075073,0.0802426639517086,0.9178339628355844,0.998076626787293,812707.6350723885,75,reach,matched_random_fixed_rank4,scenario-051,2.010099118959953e-07,0.0022372469847122822,0.002361288234670129
0.0069933553699560135,0.42952308178134974,0.5634835628486945,0.9930066446300442,812707.6953518834,75,reach,fixed_rank4,scenario-052,1.435073427504387e-07,0.005676813436278679,0.001234360927830399
0.001661756172201134,0.09903817072327115,0.899300073104528,0.9983382438277991,812707.6415779465,75,reach,matched_random_fixed_rank4,scenario-052,2.2222308508911494e-07,0.0024182384347955685,0.000868316752074901
0.011957536311654493,0.22657760064371626,0.7614648630446288,0.9880424636883451,812707.692012221,75,reach,fixed_rank4,scenario-053,1.5336779353610475e-07,0.0038016273520869075,0.010373473169957341
0.0022304042809990054,0.1169148890326439,0.8808547066863577,0.9977695957190016,812707.625809329,75,reach,matched_random_fixed_rank4,scenario-053,2.123155075159166e-07,0.0021762005289761408,0.0031181811877609104
0.012390366968909215,0.19502174029035652,0.7925878927407343,0.9876096330310907,812707.6924264539,75,reach,fixed_rank4,scenario-054,1.4113109539032003e-07,0.008038698766417137,0.006482195817354313
0.0038303140841284018,0.1165106775061089,0.8796590084097624,0.9961696859158713,812707.6204173204,75,reach,matched_random_fixed_rank4,scenario-054,2.1429421323410056e-07,0.0032078164923695102,0.002550448862444489
0.00478743113357646,0.28100272200978604,0.7142098468566377,0.9952125688664237,812707.6790730979,75,reach,fixed_rank4,scenario-055,1.5976046825518186e-07,0.007178522653200595,0.0004892380844770483
0.0011031391060717399,0.05223964734158046,0.9466572135523481,0.9988968608939286,812707.6486038673,75,reach,matched_random_fixed_rank4,scenario-055,1.9468879455505312e-07,0.0018285987109442612,0.0004347023692389335
0.008816156317743984,0.4037331040067118,0.5874507396755443,0.9911838436822561,812707.6880280894,75,reach,fixed_rank4,scenario-056,1.4420885639854803e-07,0.004590385407445778,0.0018921207663907791
0.0020929315904694218,0.07175714538085706,0.9261499230286737,0.9979070684095307,812707.6430532695,75,reach,matched_random_fixed_rank4,scenario-056,1.9631551477534964e-07,0.002547349628692449,0.0019208186378301651
0.02719917333268742,0.3156482235474067,0.6571526031199063,0.972800826667313,812707.7096547174,75,reach,fixed_rank4,scenario-057,1.4219304899456025e-07,0.0051279198719424695,0.002824013508313578
0.00573318895753995,0.10046691630125532,0.8937998947412046,0.9942668110424598,812707.626741731,75,reach,matched_random_fixed_rank4,scenario-057,2.0164640505412383e-07,0.002696277749387564,0.0013144672872032806
