task,episode,arm,native_selected,edited_selected,changed,native_margin,delta_mean,centered_delta_rms,centered_delta_energy_fraction,perturbation_range,range_to_margin,no_flip_certified,strict_margin_crossings,native_score_std,centered_rms_to_native_std,spearman,top10_overlap,native_score_entropy_nats,score_entropy_delta_nats
reach,3,random_refined,78,78,0,0.08774185180664062,0.00039798498153686523,0.0002875576617210105,0.3429936534922625,0.0018510818481445312,0.021096908830050866,1,0,0.13627085118147653,0.002110192012656178,0.9999839998222202,1.0,5.22822040011451,0.00032763886213516
reach,3,coupling,78,78,0,0.08774185180664062,0.0011307644844055177,0.00102023855163765,0.44875186951849666,0.0067102909088134766,0.07647765314551541,1,0,0.13627085118147653,0.007486843611763778,0.9999453327259191,1.0,5.22822040011451,0.0038804135153691632
reach,3,random_coupling,78,78,0,0.08774185180664062,-0.000245060125986735,0.0005314109655538182,0.8246339592729272,0.0037910938262939453,0.04320736054954132,1,0,0.13627085118147653,0.003899667177143556,0.9999662218469093,1.0,5.22822040011451,-0.001152376076984929
reach,4,refined,19,19,0,0.07408392429351807,0.0007901974519093831,0.00035695310260025346,0.1694743971107096,0.002202749252319336,0.02973316105113595,1,0,0.18878393440394767,0.0018908023276836062,0.9999879998666651,1.0,5.118227813866424,3.821731075603907e-06
reach,4,random_refined,19,19,0,0.07408392429351807,0.0005514585971832276,0.00034904339401233117,0.2860306583787809,0.0023251771926879883,0.031385718492391315,1,0,0.18878393440394767,0.0018489041194865166,0.9999933332592583,0.9,5.118227813866424,0.00011790642899800474
reach,4,coupling,19,19,0,0.07408392429351807,0.0008627855777740478,0.0009306372592105535,0.5377795448566359,0.006294965744018555,0.08497073830859861,1,0,0.18878393440394767,0.004929642250273458,0.9999604440049333,1.0,5.118227813866424,-0.0016903010444258015
reach,4,random_coupling,19,19,0,0.07408392429351807,-0.0006139612197875976,0.0006768454317678795,0.54860163941195,0.00529789924621582,0.07151213028653447,1,0,0.18878393440394767,0.0035852914809986394,0.9999742219357993,1.0,5.118227813866424,-0.0007982857611681382
reach,5,refined,252,252,0,0.04595363140106201,0.0005422353744506836,0.00033674737995624196,0.2783352677751717,0.0024559497833251953,0.05344408501454005,1,0,0.14082434313579043,0.0023912583041948363,0.9999848887209857,1.0,5.086215794961532,-0.00042042411854481543
reach,5,random_refined,252,252,0,0.04595363140106201,0.0004269707202911377,0.0002822883017830629,0.3041584720695809,0.001901865005493164,0.04138660966517678,1,0,0.14082434313579043,0.0020045419385401665,0.9999804442271579,1.0,5.086215794961532,-6.156721247929653e-05
reach,5,coupling,252,252,0,0.04595363140106201,0.0008157066504160563,0.0010048654631121233,0.6027910851408195,0.0066339969635009766,0.1443628449208404,1,0,0.14082434313579043,0.007135594888897708,0.9999244436049288,1.0,5.086215794961532,-0.0017678375821326142
reach,5,random_coupling,252,252,0,0.04595363140106201,1.231829325358073e-07,0.0005155136102023018,0.999999942902015,0.003054380416870117,0.06646657345124479,1,0,0.14082434313579043,0.003660685352568737,0.999978221980244,1.0,5.086215794961532,-0.0017025554615273109
