task,contrast,bank,layer,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_72_primary_95_low,simultaneous_72_primary_95_high,family_complete,family_quantile,critical_absolute_deviation
reach,range_minus_offrange_rank_loss,fresh,1,spearman_loss,8,8,0.0022049133879265687,0.0019734663718486141,0.0024334159268436795,0.001374945354861999,0.0030348814209911383,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,fresh,2,spearman_loss,8,8,0.00084767608528982241,0.0006975633062589609,0.0010039555995066535,1.7708052225252837e-05,0.0016776441183543921,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,fresh,3,spearman_loss,8,8,-6.6667407415677005e-06,-0.00013894737719309276,0.00013550289447658177,-0.00083663477380613728,0.00082330129232300187,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,fresh,4,spearman_loss,8,8,0.002480666412976687,0.0018678679191405922,0.0030208807303940682,0.0016506983799121173,0.0033106344460412567,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,fresh,5,spearman_loss,8,8,-0.00034667051856129838,-0.00042556583962043078,-0.00027761419571326051,-0.0011766385516258681,0.0004832975145032712,True,0.9916666666666667,0.00082996803306456958
reach-wall,persistence_minus_h3,original,0,donor_reconstruction,8,8,0.11895196663794801,0.11307882692418222,0.12528778831574533,0.10758059578673468,0.13032333748916133,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,original,1,donor_reconstruction,8,8,0.49907617133754856,0.49496556917398993,0.50288558106599945,0.48770480048633524,0.51044754218876187,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,original,2,donor_reconstruction,8,8,0.076243190055909391,0.074190696642421131,0.078134452343435509,0.064871819204696063,0.087614560907122718,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,original,3,donor_reconstruction,8,8,0.028580979272299981,0.027862468336427526,0.029283109520030076,0.017209608421086653,0.039952350123513308,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,original,4,donor_reconstruction,8,8,0.0048903484145725734,0.0045733790318669594,0.0052032105913106808,-0.0064810224366407525,0.016261719265785901,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,original,5,donor_reconstruction,8,8,-0.00014644855169797244,-0.00017291632990427963,-0.00011827455819582444,-0.011517819402911298,0.011224922299515354,True,0.9916666666666667,0.011371370851213326
