task,left_condition,right_condition,layer,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_six_layer_95_low,simultaneous_six_layer_95_high,practical_log_margin,equivalence_claimed,simultaneous_family_complete
reach-wall,float32_field_bfloat16_roundtrip,float32,2,32,32,6.8265925669837513,6.7826152914760485,6.8678283330394123,6.7710085663525463,6.8821765676149562,0.10000000000000001,False,True
reach-wall,float32_field_bfloat16_roundtrip,float32,3,32,32,6.7261751014354356,6.6927395582156111,6.7593323091221933,6.6830005274899147,6.7693496753809566,0.10000000000000001,False,True
reach-wall,float32_field_bfloat16_roundtrip,float32,4,32,32,7.2538055071852074,7.1945847406733971,7.3139275297319397,7.1763974884642412,7.3312135259061755,0.10000000000000001,False,True
reach-wall,float32_field_bfloat16_roundtrip,float32,5,32,32,7.8831267941855945,7.7591060719317966,8.0045060488175785,7.7230742482452763,8.0431793401259153,0.10000000000000001,False,True
reach-wall,bfloat16,float32,0,32,32,5.7021529463468514,5.6823511652320597,5.7235765258350533,5.6749585917380134,5.7293473009556859,0.10000000000000001,False,True
reach-wall,bfloat16,float32,1,32,32,6.1810480040165636,6.1597103856502766,6.2037579402828174,6.1521735458293909,6.2099224622037363,0.10000000000000001,False,True
reach-wall,bfloat16,float32,2,32,32,7.1505767235389133,7.1004055094123899,7.1973737595195084,7.0867859655644239,7.2143674815134009,0.10000000000000001,False,True
reach-wall,bfloat16,float32,3,32,32,6.9916569567988205,6.9630456929050641,7.0200493829621067,6.954409173995213,7.0289047396024262,0.10000000000000001,False,True
reach-wall,bfloat16,float32,4,32,32,7.5538592435983762,7.4975892974258729,7.6091301453882378,7.4806888626277432,7.6270296245690092,0.10000000000000001,False,True
reach-wall,bfloat16,float32,5,32,32,8.182872112030406,8.063551549722888,8.2995787487722374,8.0284215212244145,8.3373227028363903,0.10000000000000001,False,True
reach-wall,bfloat16,float32_field_bfloat16_roundtrip,0,32,32,0.33559522100451195,0.31870134153208157,0.35363287551126782,0.31248692840781134,0.35870351360121255,0.10000000000000001,False,True
reach-wall,bfloat16,float32_field_bfloat16_roundtrip,1,32,32,0.23632061225257672,0.22563123439324331,0.24711707482217912,0.22213230974847939,0.25050891475667403,0.10000000000000001,False,True
reach-wall,bfloat16,float32_field_bfloat16_roundtrip,2,32,32,0.32398415655516211,0.31439743785298718,0.33297510279751358,0.31160417552233538,0.33636413758798883,0.10000000000000001,False,True
reach-wall,bfloat16,float32_field_bfloat16_roundtrip,3,32,32,0.26548185536338464,0.25668531040728143,0.27436023617900773,0.25375980764564771,0.27720390308112158,0.10000000000000001,False,True
reach-wall,bfloat16,float32_field_bfloat16_roundtrip,4,32,32,0.30005373641316957,0.28745095761709022,0.31264745552220435,0.28327605948578594,0.3168314133405532,0.10000000000000001,False,True
reach-wall,bfloat16,float32_field_bfloat16_roundtrip,5,32,32,0.29974531784481029,0.28071735912256951,0.31902920050895844,0.27431612022357316,0.32517451546604753,0.10000000000000001,False,True
