task,metric,block,horizon,radius,condition,value,n_initial_states,independent_values,scope
Push-T,normalized_bending,3,1,4,native,0.0946646793819829,4,"[0.09885766451838061, 0.09847380248067532, 0.08486408820994783, 0.09646316231892788]",development; actual past is privileged offline information
Push-T,normalized_bending,3,1,4,actual_past_context,0.0946646793819829,4,"[0.09885766451838061, 0.09847380248067532, 0.08486408820994783, 0.09646316231892788]",development; actual past is privileged offline information
Push-T,normalized_bending,3,3,4,native,0.24589805286535346,4,"[0.2183124924914136, 0.26295311387048836, 0.20356961381010466, 0.2987569912894072]",development; actual past is privileged offline information
Push-T,normalized_bending,3,3,4,actual_past_context,0.40238182055266136,4,"[0.38849198926846495, 0.3891720247484127, 0.4042745363302712, 0.42758873186349655]",development; actual past is privileged offline information
Push-T,normalized_bending,3,6,4,native,0.3223444646031093,4,"[0.376609969441718, 0.300615657648593, 0.25411802007038253, 0.35803421125174373]",development; actual past is privileged offline information
Push-T,normalized_bending,3,6,4,actual_past_context,0.4500527085356918,4,"[0.4585330301982431, 0.33725394481092474, 0.44447158596863, 0.5599522731649692]",development; actual past is privileged offline information
Push-T,normalized_bending,5,1,4,native,0.2035097259016787,4,"[0.22914487233978764, 0.24363752903427227, 0.12482838848754027, 0.2164281137451147]",development; actual past is privileged offline information
Push-T,normalized_bending,5,1,4,actual_past_context,0.2035097259016787,4,"[0.22914487233978764, 0.24363752903427227, 0.12482838848754027, 0.2164281137451147]",development; actual past is privileged offline information
Push-T,normalized_bending,5,3,4,native,0.34865543884228845,4,"[0.24021755070146056, 0.4842681844554977, 0.28597124704998594, 0.38416477316220954]",development; actual past is privileged offline information
Push-T,normalized_bending,5,3,4,actual_past_context,0.42909998956261675,4,"[0.3126797289000387, 0.655625373833854, 0.3427943712947353, 0.40530048422183906]",development; actual past is privileged offline information
Push-T,normalized_bending,5,6,4,native,0.45473037690209744,4,"[0.5670965019930719, 0.3927778182233058, 0.3777126837405247, 0.48133450365148733]",development; actual past is privileged offline information
Push-T,normalized_bending,5,6,4,actual_past_context,0.5158036254752321,4,"[0.5625156660343541, 0.442929335471766, 0.4829576738326091, 0.5748118265621992]",development; actual past is privileged offline information
Push-T,prediction_error_reduction_percent,,1,1,actual_past_vs_native,0.0,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,2,1,actual_past_vs_native,11.743575699714512,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,3,1,actual_past_vs_native,24.406681744622595,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,4,1,actual_past_vs_native,26.773968820222045,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,5,1,actual_past_vs_native,44.131608201570266,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,6,1,actual_past_vs_native,25.55383090260424,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,1,4,actual_past_vs_native,0.0,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,2,4,actual_past_vs_native,12.603102910234924,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,3,4,actual_past_vs_native,20.980700929539463,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,4,4,actual_past_vs_native,31.890327690352787,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,5,4,actual_past_vs_native,43.13343560937115,4,,ratio of state-balanced means; not task-success improvement
Push-T,prediction_error_reduction_percent,,6,4,actual_past_vs_native,36.395713627752755,4,,ratio of state-balanced means; not task-success improvement
